date,open,high,low,close,volume,average,barCount
2024-01-24 07:42:00-05:00,3.66,3.87,3.65,3.87,1385.0,3.733,8
2024-01-24 07:42:05-05:00,3.9,4.05,3.9,4.05,1364.0,4.024,4
2024-01-24 07:42:10-05:00,4.29,4.5,4.29,4.5,2650.0,4.311,7
2024-01-24 07:42:15-05:00,4.5,4.81,4.5,4.81,1854.0,4.614,8
2024-01-24 07:42:20-05:00,4.5,4.5,4.5,4.5,500.0,4.5,2
2024-01-24 07:42:25-05:00,4.5,4.5,4.5,4.5,0.0,4.5,0
2024-01-24 07:42:30-05:00,4.5,4.5,4.5,4.5,0.0,4.5,0
2024-01-24 07:42:35-05:00,4.32,4.35,3.7,3.7,1795.0,4.056,7
2024-01-24 07:42:40-05:00,4.25,4.25,4.19,4.19,500.0,4.214,2
2024-01-24 07:42:45-05:00,4.21,4.25,4.21,4.25,600.0,4.243,3
2024-01-24 07:42:50-05:00,4.25,4.34,4.05,4.31,3043.0,4.216,13
2024-01-24 07:42:55-05:00,4.3,4.32,4.3,4.32,300.0,4.307,2
2024-01-24 07:43:00-05:00,4.23,4.23,4.03,4.23,1930.0,4.143,16
2024-01-24 07:43:05-05:00,4.26,4.26,4.03,4.26,754.0,4.178,6
2024-01-24 07:43:10-05:00,4.05,4.56,4.05,4.56,1197.0,4.314,9
2024-01-24 07:43:15-05:00,4.47,4.57,4.41,4.57,2321.0,4.479,12
2024-01-24 07:43:20-05:00,4.5,4.5,4.38,4.39,5681.0,4.428,19
2024-01-24 07:43:25-05:00,4.41,4.5,4.4,4.45,1258.0,4.436,7
2024-01-24 07:43:30-05:00,4.57,4.57,4.32,4.57,2558.0,4.443,15
2024-01-24 07:43:35-05:00,4.52,4.89,4.51,4.89,6919.0,4.694,35
2024-01-24 07:43:40-05:00,4.81,4.88,4.64,4.65,2890.0,4.762,14
2024-01-24 07:43:45-05:00,4.64,4.89,4.64,4.67,1358.0,4.756,12
2024-01-24 07:43:50-05:00,4.67,4.67,4.58,4.62,3107.0,4.641,12
2024-01-24 07:43:55-05:00,4.62,4.62,4.48,4.51,2657.0,4.528,17
2024-01-24 07:44:00-05:00,4.7,4.72,4.6,4.72,3141.0,4.644,14
2024-01-24 07:44:05-05:00,4.71,4.89,4.71,4.73,4867.0,4.766,26
2024-01-24 07:44:10-05:00,4.77,4.77,4.68,4.76,2464.0,4.73,16
2024-01-24 07:44:15-05:00,4.76,4.81,4.71,4.76,6787.0,4.752,21
2024-01-24 07:44:20-05:00,4.75,5.19,4.75,5.19,5911.0,4.969,36
2024-01-24 07:44:25-05:00,5.17,5.22,5.12,5.18,6070.0,5.175,30
2024-01-24 07:44:30-05:00,5.12,5.31,5.07,5.31,6951.0,5.181,38
2024-01-24 07:44:35-05:00,5.39,5.43,5.27,5.3,10538.0,5.337,47
2024-01-24 07:44:40-05:00,5.27,5.27,5.12,5.12,7104.0,5.253,26
2024-01-24 07:44:45-05:00,5.13,5.26,5.13,5.18,4274.0,5.205,19
2024-01-24 07:44:50-05:00,5.17,5.18,5.11,5.11,8326.0,5.132,20
2024-01-24 07:44:55-05:00,5.12,5.12,4.84,5.0,8000.0,4.964,39
2024-01-24 07:45:00-05:00,5.08,5.1,4.88,4.88,2405.0,5.026,16
2024-01-24 07:45:05-05:00,4.92,5.0,4.82,4.97,1806.0,4.919,10
2024-01-24 07:45:10-05:00,4.92,4.92,4.88,4.88,917.0,4.902,5
2024-01-24 07:45:15-05:00,4.83,5.0,4.75,5.0,8174.0,4.876,30
2024-01-24 07:45:20-05:00,4.88,5.0,4.88,4.88,4918.0,4.922,20
2024-01-24 07:45:25-05:00,4.88,5.12,4.86,5.09,6980.0,5.015,22
2024-01-24 07:45:30-05:00,5.08,5.09,5.0,5.09,2507.0,5.075,11
2024-01-24 07:45:35-05:00,5.07,5.07,4.99,4.99,2545.0,5.021,7
2024-01-24 07:45:40-05:00,4.93,5.01,4.88,5.01,3888.0,4.912,24
2024-01-24 07:45:45-05:00,5.01,5.02,4.95,4.95,3152.0,4.998,8
2024-01-24 07:45:50-05:00,5.02,5.02,5.0,5.0,1208.0,5.013,4
2024-01-24 07:45:55-05:00,5.02,5.21,5.02,5.2,5153.0,5.126,25
2024-01-24 07:46:00-05:00,5.2,5.4,5.12,5.37,7258.0,5.327,44
2024-01-24 07:46:05-05:00,5.37,5.41,5.12,5.23,10384.0,5.308,42
2024-01-24 07:46:10-05:00,5.23,5.3,5.16,5.23,3402.0,5.231,13
2024-01-24 07:46:15-05:00,5.25,5.25,5.2,5.2,3236.0,5.235,15
2024-01-24 07:46:20-05:00,5.25,5.25,5.12,5.2,2890.0,5.214,13
2024-01-24 07:46:25-05:00,5.13,5.13,5.1,5.11,2331.0,5.11,11
2024-01-24 07:46:30-05:00,5.12,5.17,5.1,5.17,1386.0,5.133,8
2024-01-24 07:46:35-05:00,5.1,5.15,5.07,5.07,2797.0,5.104,11
2024-01-24 07:46:40-05:00,5.1,5.15,5.1,5.15,816.0,5.121,4
2024-01-24 07:46:45-05:00,5.17,5.17,5.17,5.17,300.0,5.17,2
2024-01-24 07:46:50-05:00,5.17,5.2,5.12,5.17,2582.0,5.178,9
2024-01-24 07:46:55-05:00,5.2,5.3,5.18,5.18,4800.0,5.225,17
2024-01-24 07:47:00-05:00,5.17,5.2,5.05,5.06,4353.0,5.117,16
2024-01-24 07:47:05-05:00,5.12,5.2,5.12,5.12,3959.0,5.156,11
2024-01-24 07:47:10-05:00,5.12,5.12,5.11,5.11,1116.0,5.118,4
2024-01-24 07:47:15-05:00,5.14,5.15,5.14,5.15,1103.0,5.148,3
2024-01-24 07:47:20-05:00,5.18,5.32,5.15,5.29,7930.0,5.233,31
2024-01-24 07:47:25-05:00,5.25,5.25,5.25,5.25,100.0,5.25,1
2024-01-24 07:47:30-05:00,5.16,5.19,5.04,5.04,4478.0,5.123,18
2024-01-24 07:47:35-05:00,5.08,5.08,4.89,4.92,8546.0,4.971,33
2024-01-24 07:47:40-05:00,4.9,5.0,4.84,4.88,4005.0,4.897,19
2024-01-24 07:47:45-05:00,4.86,4.94,4.86,4.94,2704.0,4.89,18
2024-01-24 07:47:50-05:00,5.0,5.07,4.9,5.0,2035.0,4.991,13
2024-01-24 07:47:55-05:00,4.99,5.0,4.99,5.0,600.0,4.995,3
2024-01-24 07:48:00-05:00,5.05,5.05,5.02,5.05,577.0,5.036,3
2024-01-24 07:48:05-05:00,4.99,5.04,4.99,4.99,2039.0,4.992,8
2024-01-24 07:48:10-05:00,5.02,5.04,4.96,5.04,1381.0,5.01,6
2024-01-24 07:48:15-05:00,4.96,4.96,4.92,4.93,476.0,4.937,3
2024-01-24 07:48:20-05:00,4.91,4.98,4.88,4.88,2981.0,4.902,14
2024-01-24 07:48:25-05:00,4.88,5.0,4.88,4.88,1372.0,4.913,10
2024-01-24 07:48:30-05:00,4.99,5.04,4.99,5.0,5131.0,5.015,17
2024-01-24 07:48:35-05:00,5.0,5.04,5.0,5.02,1228.0,5.019,4
2024-01-24 07:48:40-05:00,4.98,4.98,4.98,4.98,965.0,4.98,3
2024-01-24 07:48:45-05:00,4.99,4.99,4.99,4.99,100.0,4.99,1
2024-01-24 07:48:50-05:00,4.93,5.02,4.93,5.02,340.0,4.978,3
2024-01-24 07:48:55-05:00,4.91,4.91,4.9,4.9,2922.0,4.901,12
2024-01-24 07:49:00-05:00,4.9,4.9,4.84,4.84,900.0,4.876,9
2024-01-24 07:49:05-05:00,4.84,4.84,4.71,4.72,3157.0,4.76,16
2024-01-24 07:49:10-05:00,4.75,4.81,4.75,4.78,3429.0,4.803,11
2024-01-24 07:49:15-05:00,4.79,4.81,4.79,4.8,1258.0,4.801,9
2024-01-24 07:49:20-05:00,4.8,4.85,4.8,4.85,2013.0,4.833,9
2024-01-24 07:49:25-05:00,4.85,4.85,4.85,4.85,188.0,4.85,1
2024-01-24 07:49:30-05:00,4.86,4.86,4.86,4.86,198.0,4.86,1
2024-01-24 07:49:35-05:00,4.85,4.9,4.85,4.9,617.0,4.862,4
2024-01-24 07:49:40-05:00,4.94,4.97,4.94,4.97,822.0,4.965,6
2024-01-24 07:49:45-05:00,4.97,5.0,4.93,5.0,3728.0,4.969,19
2024-01-24 07:49:50-05:00,5.0,5.25,4.99,5.21,14444.0,5.099,51
2024-01-24 07:49:55-05:00,5.21,5.25,5.11,5.25,4088.0,5.204,27
