date,open,high,low,close,volume,average,barCount
2024-02-02 04:00:05-05:00,6.13,6.13,6.13,6.13,200.0,6.13,1
2024-02-02 04:00:10-05:00,6.13,6.13,6.13,6.13,100.0,6.13,1
2024-02-02 04:00:15-05:00,6.13,6.13,6.13,6.13,0.0,6.13,0
2024-02-02 04:00:20-05:00,6.13,6.13,6.13,6.13,0.0,6.13,0
2024-02-02 04:00:25-05:00,6.13,6.13,6.13,6.13,0.0,6.13,0
2024-02-02 04:00:30-05:00,6.13,6.13,6.13,6.13,0.0,6.13,0
2024-02-02 04:00:35-05:00,6.13,6.13,6.13,6.13,0.0,6.13,0
2024-02-02 04:00:40-05:00,6.13,6.13,6.13,6.13,0.0,6.13,0
2024-02-02 04:00:45-05:00,6.13,6.13,6.13,6.13,0.0,6.13,0
2024-02-02 04:00:50-05:00,6.13,6.13,6.13,6.13,0.0,6.13,0
2024-02-02 04:00:55-05:00,6.13,6.13,6.13,6.13,0.0,6.13,0
2024-02-02 04:01:00-05:00,6.13,6.13,6.13,6.13,0.0,6.13,0
2024-02-02 04:01:05-05:00,6.1,6.1,6.1,6.1,100.0,6.1,1
2024-02-02 04:01:10-05:00,6.09,6.1,6.09,6.1,767.0,6.09619,4
2024-02-02 04:01:15-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:01:20-05:00,6.15,6.15,6.15,6.15,193.0,6.15,1
2024-02-02 04:01:25-05:00,6.23,6.23,6.23,6.23,144.0,6.23,1
2024-02-02 04:01:30-05:00,6.39,6.39,6.39,6.39,100.0,6.39,1
2024-02-02 04:01:35-05:00,6.39,6.39,6.39,6.39,0.0,6.39,0
2024-02-02 04:01:40-05:00,6.39,6.39,6.39,6.39,0.0,6.39,0
2024-02-02 04:01:45-05:00,6.07,6.07,5.79,5.79,2395.0,6.00825,7
2024-02-02 04:01:50-05:00,5.79,5.79,5.76,5.76,378.0,5.77444,2
2024-02-02 04:01:55-05:00,5.76,5.76,5.76,5.76,0.0,5.76,0
2024-02-02 04:02:00-05:00,5.79,5.8,5.79,5.8,1007.0,5.79607,2
2024-02-02 04:02:05-05:00,5.8,5.8,5.8,5.8,0.0,5.8,0
2024-02-02 04:02:10-05:00,5.8,5.8,5.8,5.8,0.0,5.8,0
2024-02-02 04:02:15-05:00,5.8,5.8,5.8,5.8,0.0,5.8,0
2024-02-02 04:02:20-05:00,5.8,5.8,5.8,5.8,0.0,5.8,0
2024-02-02 04:02:25-05:00,5.8,5.8,5.8,5.8,0.0,5.8,0
2024-02-02 04:02:30-05:00,5.92,5.92,5.92,5.92,100.0,5.92,1
2024-02-02 04:02:35-05:00,5.95,5.95,5.92,5.95,410.0,5.93951,4
2024-02-02 04:02:40-05:00,5.95,5.95,5.95,5.95,0.0,5.95,0
2024-02-02 04:02:45-05:00,6.04,6.06,6.04,6.06,450.0,6.04667,2
2024-02-02 04:02:50-05:00,6.06,6.06,6.06,6.06,0.0,6.06,0
2024-02-02 04:02:55-05:00,6.04,6.04,6.04,6.04,100.0,6.04,1
2024-02-02 04:03:00-05:00,6.04,6.04,6.04,6.04,0.0,6.04,0
2024-02-02 04:03:05-05:00,6.04,6.04,6.04,6.04,0.0,6.04,0
2024-02-02 04:03:10-05:00,6.04,6.04,6.04,6.04,0.0,6.04,0
2024-02-02 04:03:15-05:00,6.04,6.04,6.04,6.04,0.0,6.04,0
2024-02-02 04:03:20-05:00,6.02,6.02,6.02,6.02,100.0,6.02,1
2024-02-02 04:03:25-05:00,6.02,6.02,6.02,6.02,0.0,6.02,0
2024-02-02 04:03:30-05:00,6.02,6.02,6.02,6.02,0.0,6.02,0
2024-02-02 04:03:35-05:00,6.02,6.02,6.02,6.02,0.0,6.02,0
2024-02-02 04:03:40-05:00,6.02,6.02,6.02,6.02,0.0,6.02,0
2024-02-02 04:03:45-05:00,6.02,6.02,6.02,6.02,0.0,6.02,0
2024-02-02 04:03:50-05:00,6.02,6.02,6.02,6.02,0.0,6.02,0
2024-02-02 04:03:55-05:00,6.02,6.02,6.02,6.02,0.0,6.02,0
2024-02-02 04:04:00-05:00,6.02,6.02,6.02,6.02,0.0,6.02,0
2024-02-02 04:04:05-05:00,6.08,6.08,6.08,6.08,107.0,6.08,1
2024-02-02 04:04:10-05:00,6.08,6.08,6.08,6.08,0.0,6.08,0
2024-02-02 04:04:15-05:00,6.0,6.0,6.0,6.0,100.0,6.0,1
2024-02-02 04:04:20-05:00,6.08,6.08,6.08,6.08,100.0,6.08,1
2024-02-02 04:04:25-05:00,6.08,6.08,6.08,6.08,0.0,6.08,0
2024-02-02 04:04:30-05:00,6.0,6.0,5.95,5.95,437.0,5.96293,4
2024-02-02 04:04:35-05:00,5.95,5.95,5.95,5.95,0.0,5.95,0
2024-02-02 04:04:40-05:00,5.95,5.95,5.95,5.95,0.0,5.95,0
2024-02-02 04:04:45-05:00,5.95,5.95,5.95,5.95,0.0,5.95,0
2024-02-02 04:04:50-05:00,5.95,5.95,5.95,5.95,100.0,5.95,1
2024-02-02 04:04:55-05:00,5.95,5.95,5.95,5.95,0.0,5.95,0
2024-02-02 04:05:00-05:00,5.95,5.95,5.95,5.95,0.0,5.95,0
2024-02-02 04:05:05-05:00,5.95,5.95,5.95,5.95,0.0,5.95,0
2024-02-02 04:05:10-05:00,5.95,5.95,5.95,5.95,0.0,5.95,0
2024-02-02 04:05:15-05:00,5.95,5.95,5.95,5.95,0.0,5.95,0
2024-02-02 04:05:20-05:00,5.92,5.92,5.92,5.92,491.0,5.92,1
2024-02-02 04:05:25-05:00,5.92,5.92,5.92,5.92,0.0,5.92,0
2024-02-02 04:05:30-05:00,5.92,5.92,5.92,5.92,100.0,5.92,1
2024-02-02 04:05:35-05:00,5.92,5.92,5.92,5.92,0.0,5.92,0
2024-02-02 04:05:40-05:00,5.92,5.92,5.92,5.92,0.0,5.92,0
2024-02-02 04:05:45-05:00,5.92,5.92,5.92,5.92,0.0,5.92,0
2024-02-02 04:05:50-05:00,5.92,5.92,5.92,5.92,0.0,5.92,0
2024-02-02 04:05:55-05:00,5.92,5.92,5.92,5.92,0.0,5.92,0
2024-02-02 04:06:00-05:00,5.92,5.92,5.92,5.92,0.0,5.92,0
2024-02-02 04:06:05-05:00,5.92,5.92,5.92,5.92,0.0,5.92,0
2024-02-02 04:06:10-05:00,5.92,5.92,5.92,5.92,0.0,5.92,0
2024-02-02 04:06:15-05:00,5.92,5.92,5.92,5.92,0.0,5.92,0
2024-02-02 04:06:20-05:00,6.13,6.14,6.08,6.14,462.0,6.12268,4
2024-02-02 04:06:25-05:00,6.14,6.14,6.14,6.14,0.0,6.14,0
2024-02-02 04:06:30-05:00,6.14,6.14,6.14,6.14,0.0,6.14,0
2024-02-02 04:06:35-05:00,6.13,6.13,6.13,6.13,100.0,6.13,1
2024-02-02 04:06:40-05:00,6.14,6.15,6.14,6.15,558.0,6.14462,5
2024-02-02 04:06:45-05:00,6.15,6.15,6.15,6.15,848.0,6.15,1
2024-02-02 04:06:50-05:00,6.15,6.15,6.15,6.15,0.0,6.15,0
2024-02-02 04:06:55-05:00,6.15,6.15,6.15,6.15,0.0,6.15,0
2024-02-02 04:07:00-05:00,6.15,6.15,6.15,6.15,0.0,6.15,0
2024-02-02 04:07:05-05:00,6.15,6.15,6.15,6.15,0.0,6.15,0
2024-02-02 04:07:10-05:00,6.1,6.1,6.1,6.1,120.0,6.1,1
2024-02-02 04:07:15-05:00,6.04,6.04,6.01,6.01,280.0,6.02071,2
2024-02-02 04:07:20-05:00,5.96,5.98,5.96,5.98,250.0,5.968,2
2024-02-02 04:07:25-05:00,5.98,5.98,5.98,5.98,0.0,5.98,0
2024-02-02 04:07:30-05:00,5.97,5.97,5.97,5.97,141.0,5.97,1
2024-02-02 04:07:35-05:00,5.94,5.94,5.89,5.89,403.0,5.9173,4
2024-02-02 04:07:40-05:00,5.89,5.89,5.89,5.89,0.0,5.89,0
2024-02-02 04:07:45-05:00,5.89,5.89,5.89,5.89,0.0,5.89,0
2024-02-02 04:07:50-05:00,5.89,5.89,5.89,5.89,0.0,5.89,0
2024-02-02 04:07:55-05:00,5.89,5.89,5.89,5.89,0.0,5.89,0
2024-02-02 04:08:00-05:00,5.89,5.89,5.89,5.89,0.0,5.89,0
2024-02-02 04:08:05-05:00,6.02,6.02,6.02,6.02,100.0,6.02,1
2024-02-02 04:08:10-05:00,6.02,6.02,6.02,6.02,0.0,6.02,0
2024-02-02 04:08:15-05:00,6.02,6.02,6.02,6.02,0.0,6.02,0
2024-02-02 04:08:20-05:00,6.02,6.02,6.02,6.02,0.0,6.02,0
2024-02-02 04:08:25-05:00,6.02,6.02,6.02,6.02,0.0,6.02,0
2024-02-02 04:08:30-05:00,6.02,6.02,6.02,6.02,0.0,6.02,0
2024-02-02 04:08:35-05:00,6.02,6.02,6.02,6.02,0.0,6.02,0
2024-02-02 04:08:40-05:00,6.02,6.02,6.02,6.02,0.0,6.02,0
2024-02-02 04:08:45-05:00,5.99,6.05,5.99,6.05,629.0,6.02728,4
2024-02-02 04:08:50-05:00,6.05,6.05,6.05,6.05,0.0,6.05,0
2024-02-02 04:08:55-05:00,6.05,6.05,6.05,6.05,0.0,6.05,0
2024-02-02 04:09:00-05:00,6.05,6.05,6.05,6.05,0.0,6.05,0
2024-02-02 04:09:05-05:00,6.05,6.05,6.05,6.05,0.0,6.05,0
2024-02-02 04:09:10-05:00,6.1,6.1,6.1,6.1,103.0,6.1,1
2024-02-02 04:09:15-05:00,6.12,6.12,6.12,6.12,169.0,6.12,1
2024-02-02 04:09:20-05:00,6.12,6.12,6.12,6.12,0.0,6.12,0
2024-02-02 04:09:25-05:00,6.15,6.15,6.15,6.15,132.0,6.15,1
2024-02-02 04:09:30-05:00,6.15,6.15,6.15,6.15,0.0,6.15,0
2024-02-02 04:09:35-05:00,6.15,6.15,6.15,6.15,0.0,6.15,0
2024-02-02 04:09:40-05:00,6.15,6.15,6.15,6.15,0.0,6.15,0
2024-02-02 04:09:45-05:00,6.15,6.15,6.15,6.15,0.0,6.15,0
2024-02-02 04:09:50-05:00,6.15,6.15,6.15,6.15,0.0,6.15,0
2024-02-02 04:09:55-05:00,6.15,6.15,6.15,6.15,0.0,6.15,0
2024-02-02 04:10:00-05:00,6.15,6.15,6.15,6.15,0.0,6.15,0
2024-02-02 04:10:05-05:00,6.15,6.15,6.15,6.15,0.0,6.15,0
2024-02-02 04:10:10-05:00,6.15,6.15,6.15,6.15,0.0,6.15,0
2024-02-02 04:10:15-05:00,6.15,6.15,6.15,6.15,0.0,6.15,0
2024-02-02 04:10:20-05:00,6.15,6.15,6.15,6.15,0.0,6.15,0
2024-02-02 04:10:25-05:00,6.15,6.15,6.15,6.15,0.0,6.15,0
2024-02-02 04:10:30-05:00,6.15,6.15,6.15,6.15,0.0,6.15,0
2024-02-02 04:10:35-05:00,6.11,6.11,6.11,6.11,100.0,6.11,1
2024-02-02 04:10:40-05:00,6.11,6.11,6.11,6.11,0.0,6.11,0
2024-02-02 04:10:45-05:00,6.11,6.11,6.11,6.11,0.0,6.11,0
2024-02-02 04:10:50-05:00,6.05,6.05,6.05,6.05,100.0,6.05,1
2024-02-02 04:10:55-05:00,6.0,6.0,6.0,6.0,100.0,6.0,1
2024-02-02 04:11:00-05:00,6.0,6.0,6.0,6.0,0.0,6.0,0
2024-02-02 04:11:05-05:00,6.0,6.0,6.0,6.0,0.0,6.0,0
2024-02-02 04:11:10-05:00,6.09,6.1,6.09,6.1,278.0,6.0964,2
2024-02-02 04:11:15-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:11:20-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:11:25-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:11:30-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:11:35-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:11:40-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:11:45-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:11:50-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:11:55-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:12:00-05:00,6.08,6.08,6.08,6.08,100.0,6.08,1
2024-02-02 04:12:05-05:00,6.08,6.08,6.08,6.08,0.0,6.08,0
2024-02-02 04:12:10-05:00,6.08,6.08,6.08,6.08,0.0,6.08,0
2024-02-02 04:12:15-05:00,6.08,6.08,6.08,6.08,0.0,6.08,0
2024-02-02 04:12:20-05:00,6.08,6.08,6.08,6.08,0.0,6.08,0
2024-02-02 04:12:25-05:00,6.08,6.08,6.08,6.08,0.0,6.08,0
2024-02-02 04:12:30-05:00,6.08,6.08,6.08,6.08,0.0,6.08,0
2024-02-02 04:12:35-05:00,6.08,6.08,6.08,6.08,0.0,6.08,0
2024-02-02 04:12:40-05:00,6.08,6.08,6.08,6.08,0.0,6.08,0
2024-02-02 04:12:45-05:00,6.08,6.08,6.08,6.08,0.0,6.08,0
2024-02-02 04:12:50-05:00,6.08,6.08,6.08,6.08,0.0,6.08,0
2024-02-02 04:12:55-05:00,6.1,6.1,6.1,6.1,100.0,6.1,1
2024-02-02 04:13:00-05:00,6.1,6.1,6.1,6.1,100.0,6.1,1
2024-02-02 04:13:05-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:13:10-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:13:15-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:13:20-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:13:25-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:13:30-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:13:35-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:13:40-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:13:45-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:13:50-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:13:55-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:14:00-05:00,6.1,6.1,6.1,6.1,100.0,6.1,1
2024-02-02 04:14:05-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:14:10-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:14:15-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:14:20-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:14:25-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:14:30-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:14:35-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:14:40-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:14:45-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:14:50-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:14:55-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:15:00-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:15:05-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:15:10-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:15:15-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:15:20-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:15:25-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:15:30-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:15:35-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:15:40-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:15:45-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:15:50-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:15:55-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:16:00-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:16:05-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:16:10-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:16:15-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:16:20-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:16:25-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:16:30-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:16:35-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:16:40-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:16:45-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:16:50-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:16:55-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
2024-02-02 04:17:00-05:00,6.1,6.1,6.1,6.1,0.0,6.1,0
