date,open,high,low,close,volume,average,barCount
2024-02-08 09:00:20-05:00,1.2,1.3,1.2,1.3,1614.0,1.27658,4
2024-02-08 09:00:25-05:00,1.3,1.48,1.29,1.48,17161.0,1.41121,13
2024-02-08 09:00:30-05:00,1.34,1.5,1.34,1.5,5342.0,1.49682,4
2024-02-08 09:00:35-05:00,1.5,1.65,1.5,1.65,21266.0,1.56485,17
2024-02-08 09:00:40-05:00,1.61,1.77,1.61,1.77,20350.0,1.71703,40
2024-02-08 09:00:45-05:00,1.75,1.98,1.71,1.98,23363.0,1.8488,27
2024-02-08 09:00:50-05:00,1.9999,2.0,1.9,1.9,3400.0,1.96938,8
2024-02-08 09:00:55-05:00,1.9,1.9,1.81,1.89,1300.0,1.86231,7
2024-02-08 09:01:00-05:00,1.89,1.89,1.75,1.79,2647.0,1.82816,12
2024-02-08 09:01:05-05:00,1.79,1.9,1.75,1.88,3059.0,1.8641,11
2024-02-08 09:01:10-05:00,1.9,1.92,1.62,1.83,12050.0,1.73924,23
2024-02-08 09:01:15-05:00,1.69,1.77,1.67,1.67,2673.0,1.72824,8
2024-02-08 09:01:20-05:00,1.79,1.79,1.67,1.7,4325.0,1.73251,12
2024-02-08 09:01:25-05:00,1.7,1.77,1.67,1.67,4584.0,1.70209,9
2024-02-08 09:01:30-05:00,1.67,1.9,1.67,1.79,8939.0,1.73859,34
2024-02-08 09:01:35-05:00,1.85,2.0,1.83,1.94,13722.0,1.90274,44
2024-02-08 09:01:40-05:00,1.89,2.25,1.89,2.14,15914.0,2.07105,49
2024-02-08 09:01:45-05:00,2.11,2.19,2.0,2.01,17974.0,2.03486,49
2024-02-08 09:01:50-05:00,2.02,2.02,1.9,1.94,14855.0,1.98878,36
2024-02-08 09:01:55-05:00,1.93,2.2,1.92,2.2,18423.0,2.03505,49
2024-02-08 09:02:00-05:00,2.18,2.2,2.12,2.18,15879.0,2.1546,41
2024-02-08 09:02:05-05:00,2.2,2.55,2.13,2.54,16777.0,2.20181,44
2024-02-08 09:02:10-05:00,2.53,3.0,2.4,2.68,22564.0,2.70207,59
2024-02-08 09:02:15-05:00,2.95,4.0,2.85,3.0,20428.0,3.2541,37
2024-02-08 09:02:20-05:00,3.14,3.2,2.99,2.99,20063.0,3.09446,57
2024-02-08 09:02:25-05:00,3.06,3.14,2.71,2.95,10067.0,2.99456,36
2024-02-08 09:02:30-05:00,2.81,3.28,2.74,3.2,13200.0,3.04012,55
2024-02-08 09:02:35-05:00,3.2587,3.61,3.2,3.5,11095.0,3.36971,32
2024-02-08 09:02:40-05:00,3.63,3.73,3.27,3.43,9888.0,3.45153,37
2024-02-08 09:02:45-05:00,3.49,3.51,3.31,3.36,16131.0,3.42351,60
2024-02-08 09:02:50-05:00,3.31,3.67,3.27,3.54,17824.0,3.42641,57
2024-02-08 09:02:55-05:00,3.52,3.54,3.33,3.36,19550.0,3.46009,62
2024-02-08 09:03:00-05:00,3.32,4.26,3.32,3.98,34080.0,3.72766,91
2024-02-08 09:03:05-05:00,3.97,4.04,3.87,4.01,9729.0,3.96363,41
2024-02-08 09:03:10-05:00,4.01,4.55,4.01,4.55,29030.0,4.20141,103
2024-02-08 09:03:15-05:00,4.42,4.99,4.17,4.27,17376.0,4.43734,74
2024-02-08 09:03:20-05:00,4.25,4.3,4.16,4.29,14978.0,4.25367,44
2024-02-08 09:03:25-05:00,4.24,4.4,4.07,4.1399,23159.0,4.17483,72
2024-02-08 09:03:30-05:00,4.11,4.14,4.0,4.135,13749.0,4.06588,42
2024-02-08 09:03:35-05:00,4.19,4.55,4.08,4.55,17570.0,4.25174,60
2024-02-08 09:03:40-05:00,4.69,4.8,4.45,4.53,9611.0,4.54785,41
2024-02-08 09:03:45-05:00,4.53,5.75,4.53,4.73,23060.0,4.88225,96
2024-02-08 09:03:50-05:00,4.74,5.45,4.6,4.77,14652.0,4.91346,52
2024-02-08 09:03:55-05:00,5.0,5.25,4.74,5.25,12072.0,5.01284,47
2024-02-08 09:04:00-05:00,5.1,5.2,4.73,5.16,24491.0,4.98146,79
2024-02-08 09:04:05-05:00,5.14,5.35,5.0,5.0,19652.0,5.1307,64
2024-02-08 09:04:10-05:00,5.18,5.76,4.84,5.47,17552.0,5.41474,71
2024-02-08 09:04:15-05:00,5.6,5.74,5.38,5.43,11134.0,5.45934,44
2024-02-08 09:04:20-05:00,5.38,5.64,5.16,5.35,20249.0,5.33783,70
2024-02-08 09:04:25-05:00,5.43,5.43,5.03,5.03,9989.0,5.22488,35
2024-02-08 09:04:30-05:00,5.19,5.3,5.0,5.0,18729.0,5.05409,42
2024-02-08 09:04:35-05:00,4.97,5.03,4.78,5.0,10732.0,4.9121,44
2024-02-08 09:04:40-05:00,4.8313,5.02,4.8313,5.02,5390.0,4.98495,18
2024-02-08 09:04:45-05:00,5.1,5.28,5.03,5.13,6616.0,5.15338,29
2024-02-08 09:04:50-05:00,5.11,5.32,5.1,5.32,7702.0,5.18516,28
2024-02-08 09:04:55-05:00,5.34,6.11,5.11,6.06,43152.0,5.74042,111
2024-02-08 09:05:00-05:00,6.05,6.64,6.0,6.57,32951.0,6.17823,99
2024-02-08 09:05:05-05:00,6.58,7.11,6.09,6.89,19447.0,6.52954,87
2024-02-08 09:05:10-05:00,6.83,7.56,6.55,6.57,26298.0,6.91624,93
2024-02-08 09:05:15-05:00,6.57,7.41,6.57,7.3,28381.0,6.91596,76
2024-02-08 09:05:20-05:00,7.72,7.72,6.87,6.92,23449.0,7.07926,69
2024-02-08 09:05:25-05:00,7.0,7.06,6.7,6.75,16077.0,6.94583,63
2024-02-08 09:05:30-05:00,7.06,7.23,6.85,7.15,19385.0,7.00267,69
2024-02-08 09:05:35-05:00,7.15,7.4,7.0,7.31,17557.0,7.1847,77
2024-02-08 09:05:40-05:00,7.3,7.5,7.17,7.17,14613.0,7.31389,58
2024-02-08 09:05:45-05:00,7.15,7.21,7.08,7.12,7418.0,7.1395,34
2024-02-08 09:05:50-05:00,7.12,7.15,6.54,6.69,27013.0,6.84865,81
2024-02-08 09:05:55-05:00,6.72,6.83,6.64,6.82,9197.0,6.78204,41
2024-02-08 09:06:00-05:00,6.8,6.8,6.3,6.3,13154.0,6.50733,62
2024-02-08 09:06:05-05:00,6.25,6.75,6.25,6.51,11451.0,6.42687,35
