date,open,high,low,close,volume,average,barCount
2024-02-13 04:00:00-05:00,2.25,2.25,2.13,2.13,4748.0,2.19917,7
2024-02-13 04:00:05-05:00,2.13,2.13,2.13,2.13,0.0,2.13,0
2024-02-13 04:00:10-05:00,2.16,2.16,2.16,2.16,189.0,2.16,1
2024-02-13 04:00:15-05:00,2.15,2.25,2.14,2.25,893.0,2.16153,4
2024-02-13 04:00:20-05:00,2.12,2.12,2.12,2.12,736.0,2.12,1
2024-02-13 04:00:25-05:00,2.12,2.12,2.12,2.12,0.0,2.12,0
2024-02-13 04:00:30-05:00,2.15,2.15,2.15,2.15,300.0,2.15,1
2024-02-13 04:00:35-05:00,2.15,2.15,2.15,2.15,0.0,2.15,0
2024-02-13 04:00:40-05:00,2.26,2.27,2.26,2.27,666.0,2.267,4
2024-02-13 04:00:45-05:00,2.26,2.27,2.26,2.27,400.0,2.265,4
2024-02-13 04:00:50-05:00,2.32,2.32,2.26,2.26,607.0,2.31012,3
2024-02-13 04:00:55-05:00,2.34,2.35,2.34,2.35,1300.0,2.34769,6
2024-02-13 04:01:00-05:00,2.38,2.38,2.38,2.38,202.0,2.38,2
2024-02-13 04:01:05-05:00,2.35,2.35,2.35,2.35,1308.0,2.35,5
2024-02-13 04:01:10-05:00,2.38,2.4,2.35,2.4,539.0,2.38471,3
2024-02-13 04:01:15-05:00,2.4,2.4,2.35,2.35,970.0,2.37733,6
2024-02-13 04:01:20-05:00,2.39,2.49,2.38,2.49,663.0,2.40357,5
2024-02-13 04:01:25-05:00,2.55,2.63,2.55,2.63,374.0,2.57139,2
2024-02-13 04:01:30-05:00,2.64,2.69,2.6,2.6,1910.0,2.65504,11
2024-02-13 04:01:35-05:00,2.62,2.7,2.62,2.7,1795.0,2.681,10
2024-02-13 04:01:40-05:00,2.7,2.77,2.55,2.55,11561.0,2.63243,32
2024-02-13 04:01:45-05:00,2.55,2.6,2.4,2.6,3911.0,2.53991,19
2024-02-13 04:01:50-05:00,2.63,2.72,2.59,2.59,1692.0,2.66051,11
