date,open,high,low,close,volume,average,barCount
2024-02-13 04:08:20-05:00,1.2,1.2,1.2,1.2,200.0,1.2,1
2024-02-13 04:08:25-05:00,1.2,1.2,1.2,1.2,0.0,1.2,0
2024-02-13 04:08:30-05:00,1.2,1.2,1.2,1.2,0.0,1.2,0
2024-02-13 04:08:35-05:00,1.2,1.2,1.2,1.2,0.0,1.2,0
2024-02-13 04:08:40-05:00,1.2,1.2,1.2,1.2,0.0,1.2,0
2024-02-13 04:08:45-05:00,1.2,1.2,1.2,1.2,0.0,1.2,0
2024-02-13 04:08:50-05:00,1.2,1.2,1.2,1.2,0.0,1.2,0
2024-02-13 04:08:55-05:00,1.2,1.2,1.2,1.2,0.0,1.2,0
2024-02-13 04:09:00-05:00,1.2,1.2,1.2,1.2,0.0,1.2,0
2024-02-13 04:09:05-05:00,1.2,1.2,1.2,1.2,0.0,1.2,0
2024-02-13 04:09:10-05:00,1.2,1.2,1.2,1.2,0.0,1.2,0
2024-02-13 04:09:15-05:00,1.2,1.2,1.2,1.2,0.0,1.2,0
2024-02-13 04:09:20-05:00,1.2,1.2,1.2,1.2,0.0,1.2,0
2024-02-13 04:09:25-05:00,1.2,1.2,1.2,1.2,0.0,1.2,0
2024-02-13 04:09:30-05:00,1.2,1.2,1.2,1.2,915.0,1.2,1
2024-02-13 04:09:35-05:00,1.2,1.2,1.2,1.2,0.0,1.2,0
2024-02-13 04:09:40-05:00,1.32,1.33,1.32,1.33,450.0,1.32556,4
2024-02-13 04:09:45-05:00,1.45,1.45,1.45,1.45,415.0,1.45,1
2024-02-13 04:09:50-05:00,1.46,1.46,1.46,1.46,455.0,1.46,1
2024-02-13 04:09:55-05:00,1.46,1.46,1.46,1.46,554.0,1.46,1
2024-02-13 04:10:00-05:00,1.46,1.46,1.46,1.46,0.0,1.46,0
2024-02-13 04:10:05-05:00,1.46,1.46,1.46,1.46,755.0,1.46,1
2024-02-13 04:10:10-05:00,1.46,1.46,1.46,1.46,0.0,1.46,0
2024-02-13 04:10:15-05:00,1.46,1.46,1.46,1.46,655.0,1.46,1
2024-02-13 04:10:20-05:00,1.46,1.46,1.46,1.46,253.0,1.46,1
2024-02-13 04:10:25-05:00,1.46,1.46,1.46,1.46,0.0,1.46,0
2024-02-13 04:10:30-05:00,1.49,1.49,1.49,1.49,655.0,1.49,2
2024-02-13 04:10:35-05:00,1.49,1.5,1.49,1.5,555.0,1.4982,2
2024-02-13 04:10:40-05:00,1.49,1.51,1.49,1.51,417.0,1.50173,3
2024-02-13 04:10:45-05:00,1.51,1.51,1.46,1.46,555.0,1.4718,5
2024-02-13 04:10:50-05:00,1.47,1.47,1.47,1.47,900.0,1.47,2
2024-02-13 04:10:55-05:00,1.5,1.5,1.5,1.5,200.0,1.5,1
2024-02-13 04:11:00-05:00,1.54,1.54,1.54,1.54,188.0,1.54,1
2024-02-13 04:11:05-05:00,1.54,1.54,1.54,1.54,0.0,1.54,0
2024-02-13 04:11:10-05:00,1.56,1.56,1.56,1.56,100.0,1.56,1
2024-02-13 04:11:15-05:00,1.56,1.56,1.56,1.56,155.0,1.56,1
2024-02-13 04:11:20-05:00,1.56,1.59,1.56,1.59,699.0,1.56732,5
2024-02-13 04:11:25-05:00,1.61,1.61,1.61,1.61,155.0,1.61,1
2024-02-13 04:11:30-05:00,1.59,1.59,1.58,1.58,500.0,1.584,4
2024-02-13 04:11:35-05:00,1.59,1.59,1.59,1.59,222.0,1.59,1
2024-02-13 04:11:40-05:00,1.58,1.6,1.58,1.6,1317.0,1.58925,6
2024-02-13 04:11:45-05:00,1.63,1.65,1.63,1.65,1293.0,1.63995,6
2024-02-13 04:11:50-05:00,1.65,1.74,1.65,1.69,3679.0,1.66758,13
2024-02-13 04:11:55-05:00,1.69,1.75,1.67,1.75,770.0,1.71221,4
2024-02-13 04:12:00-05:00,1.65,1.75,1.65,1.75,1721.0,1.70235,6
2024-02-13 04:12:05-05:00,1.74,1.78,1.7,1.78,4171.0,1.76802,25
2024-02-13 04:12:10-05:00,1.88,1.99,1.85,1.99,3708.0,1.91597,20
2024-02-13 04:12:15-05:00,1.98,1.99,1.9,1.9,6994.0,1.95795,34
2024-02-13 04:12:20-05:00,1.95,2.0,1.9,1.99,10675.0,1.96631,46
2024-02-13 04:12:25-05:00,2.0,2.13,1.98,2.1,5347.0,2.06194,16
2024-02-13 04:12:30-05:00,2.12,2.13,1.98,1.98,12088.0,2.08141,68
2024-02-13 04:12:35-05:00,1.98,1.99,1.86,1.94,6568.0,1.9444,31
2024-02-13 04:12:40-05:00,1.86,1.97,1.86,1.88,4949.0,1.92054,29
2024-02-13 04:12:45-05:00,1.86,1.89,1.81,1.85,8345.0,1.85622,37
2024-02-13 04:12:50-05:00,1.85,1.88,1.85,1.88,9146.0,1.87237,52
2024-02-13 04:12:55-05:00,1.87,1.9,1.82,1.83,8299.0,1.86399,38
2024-02-13 04:13:00-05:00,1.84,1.85,1.8,1.8,5493.0,1.8325,20
2024-02-13 04:13:05-05:00,1.78,1.78,1.71,1.73,9151.0,1.74351,37
2024-02-13 04:13:10-05:00,1.74,1.74,1.7,1.71,5340.0,1.71437,23
2024-02-13 04:13:15-05:00,1.7,1.7,1.61,1.61,6959.0,1.68513,16
2024-02-13 04:13:20-05:00,1.68,1.68,1.61,1.68,4436.0,1.65415,23
2024-02-13 04:13:25-05:00,1.67,1.73,1.65,1.71,3520.0,1.68338,18
2024-02-13 04:13:30-05:00,1.7,1.71,1.69,1.69,3418.0,1.70071,13
2024-02-13 04:13:35-05:00,1.7,1.71,1.68,1.68,6001.0,1.70279,17
2024-02-13 04:13:40-05:00,1.69,1.7,1.66,1.68,2129.0,1.6862,15
2024-02-13 04:13:45-05:00,1.66,1.67,1.66,1.67,648.0,1.66463,4
2024-02-13 04:13:50-05:00,1.66,1.67,1.65,1.65,2337.0,1.66092,15
2024-02-13 04:13:55-05:00,1.65,1.65,1.62,1.62,2869.0,1.63648,15
2024-02-13 04:14:00-05:00,1.62,1.62,1.61,1.61,6195.0,1.61246,13
2024-02-13 04:14:05-05:00,1.61,1.62,1.6,1.6,5248.0,1.60378,21
2024-02-13 04:14:10-05:00,1.61,1.61,1.54,1.54,4017.0,1.58035,20
2024-02-13 04:14:15-05:00,1.54,1.61,1.53,1.6,6251.0,1.57434,27
2024-02-13 04:14:20-05:00,1.56,1.61,1.56,1.6,5140.0,1.59644,22
2024-02-13 04:14:25-05:00,1.58,1.61,1.58,1.6,2636.0,1.59961,11
2024-02-13 04:14:30-05:00,1.61,1.65,1.61,1.65,3849.0,1.61222,12
2024-02-13 04:14:35-05:00,1.61,1.62,1.6,1.62,1899.0,1.60906,12
2024-02-13 04:14:40-05:00,1.65,1.65,1.65,1.65,100.0,1.65,1
2024-02-13 04:14:45-05:00,1.65,1.65,1.65,1.65,100.0,1.65,1
2024-02-13 04:14:50-05:00,1.64,1.66,1.64,1.65,1272.0,1.6505,6
2024-02-13 04:14:55-05:00,1.66,1.66,1.65,1.65,4940.0,1.65492,20
2024-02-13 04:15:00-05:00,1.64,1.65,1.64,1.65,659.0,1.64848,4
2024-02-13 04:15:05-05:00,1.65,1.65,1.63,1.63,4169.0,1.64287,8
2024-02-13 04:15:10-05:00,1.63,1.63,1.62,1.62,821.0,1.62378,5
2024-02-13 04:15:15-05:00,1.59,1.59,1.58,1.58,200.0,1.585,2
2024-02-13 04:15:20-05:00,1.58,1.58,1.52,1.52,10261.0,1.53616,17
2024-02-13 04:15:25-05:00,1.52,1.54,1.52,1.52,2516.0,1.52079,16
2024-02-13 04:15:30-05:00,1.52,1.53,1.49,1.49,4241.0,1.51357,19
2024-02-13 04:15:35-05:00,1.48,1.51,1.42,1.44,9407.0,1.47254,30
2024-02-13 04:15:40-05:00,1.44,1.47,1.42,1.44,3580.0,1.43712,17
2024-02-13 04:15:45-05:00,1.43,1.44,1.43,1.43,1767.0,1.43632,12
2024-02-13 04:15:50-05:00,1.43,1.43,1.42,1.43,1452.0,1.42545,11
2024-02-13 04:15:55-05:00,1.42,1.5,1.41,1.5,8651.0,1.42849,42
