date,open,high,low,close,volume,average,barCount
2024-02-14 04:00:00-05:00,3.15,3.24,3.14,3.14,2666.0,3.1658,9
2024-02-14 04:00:05-05:00,3.24,3.28,3.2,3.28,1222.0,3.24479,7
2024-02-14 04:00:10-05:00,3.32,3.38,3.24,3.38,5075.0,3.28209,14
2024-02-14 04:00:15-05:00,3.4,3.5,3.39,3.43,7321.0,3.44562,35
2024-02-14 04:00:20-05:00,3.49,3.7,3.48,3.69,13631.0,3.55463,62
2024-02-14 04:00:25-05:00,3.66,3.8,3.61,3.74,6756.0,3.67774,34
2024-02-14 04:00:30-05:00,3.75,3.92,3.75,3.84,12363.0,3.83543,60
2024-02-14 04:00:35-05:00,3.84,4.0,3.81,3.99,19523.0,3.94931,75
2024-02-14 04:00:40-05:00,3.98,4.25,3.98,4.15,14708.0,4.0794,64
2024-02-14 04:00:45-05:00,4.15,4.24,4.0,4.02,14586.0,4.11531,64
2024-02-14 04:00:50-05:00,4.03,4.44,4.02,4.44,7680.0,4.20769,34
2024-02-14 04:00:55-05:00,4.39,4.4,4.1,4.25,5829.0,4.28318,31
2024-02-14 04:01:00-05:00,4.24,4.32,4.18,4.32,8422.0,4.23958,42
2024-02-14 04:01:05-05:00,4.25,4.4,4.25,4.38,8737.0,4.3325,41
2024-02-14 04:01:10-05:00,4.3,4.4,4.18,4.21,8035.0,4.27445,44
2024-02-14 04:01:15-05:00,4.21,4.33,4.14,4.15,8533.0,4.23391,34
2024-02-14 04:01:20-05:00,4.23,4.23,4.1,4.14,3539.0,4.14275,20
2024-02-14 04:01:25-05:00,4.19,4.27,4.12,4.23,9565.0,4.19728,35
2024-02-14 04:01:30-05:00,4.22,4.33,4.13,4.13,6079.0,4.22105,27
2024-02-14 04:01:35-05:00,4.21,4.22,4.13,4.19,2232.0,4.1953,11
2024-02-14 04:01:40-05:00,4.14,4.19,4.0,4.0,7826.0,4.06255,38
2024-02-14 04:01:45-05:00,4.0,4.11,3.88,3.88,4728.0,4.00139,21
2024-02-14 04:01:50-05:00,3.96,4.2,3.9,4.2,7084.0,4.01881,18
2024-02-14 04:01:55-05:00,4.26,4.26,4.02,4.26,2372.0,4.21341,12
2024-02-14 04:02:00-05:00,4.23,4.26,4.05,4.14,2166.0,4.19006,18
2024-02-14 04:02:05-05:00,4.14,4.25,4.14,4.25,2850.0,4.18305,12
2024-02-14 04:02:10-05:00,4.11,4.26,4.11,4.2,4359.0,4.22165,20
2024-02-14 04:02:15-05:00,4.2,4.36,4.2,4.36,6946.0,4.27169,32
2024-02-14 04:02:20-05:00,4.26,4.6,4.26,4.47,11759.0,4.48424,42
2024-02-14 04:02:25-05:00,4.45,4.74,4.4,4.74,10951.0,4.55857,51
2024-02-14 04:02:30-05:00,4.63,4.83,4.62,4.74,5630.0,4.68493,29
2024-02-14 04:02:35-05:00,4.75,5.0,4.74,5.0,7014.0,4.82066,37
2024-02-14 04:02:40-05:00,4.94,5.18,4.9,5.1,6465.0,5.05276,34
2024-02-14 04:02:45-05:00,5.13,5.26,5.05,5.24,11417.0,5.17686,50
2024-02-14 04:02:50-05:00,5.24,5.67,5.2,5.43,11812.0,5.34254,53
2024-02-14 04:02:55-05:00,5.32,5.6,5.3,5.6,10157.0,5.46938,53
2024-02-14 04:03:00-05:00,5.5,5.6,5.31,5.32,9671.0,5.45255,47
2024-02-14 04:03:05-05:00,5.32,5.45,5.29,5.45,5834.0,5.33054,27
2024-02-14 04:03:10-05:00,5.45,5.65,5.32,5.65,8146.0,5.5175,35
2024-02-14 04:03:15-05:00,5.66,6.0,5.66,6.0,8295.0,5.92969,42
2024-02-14 04:03:20-05:00,6.0,6.33,5.88,6.21,12031.0,6.01806,53
2024-02-14 04:03:25-05:00,6.23,6.3,6.0,6.3,15367.0,6.13625,69
2024-02-14 04:03:30-05:00,6.17,6.3,6.0,6.04,8837.0,6.07376,30
2024-02-14 04:03:35-05:00,6.06,6.3,6.03,6.1,9264.0,6.13175,39
2024-02-14 04:03:40-05:00,6.2,6.28,6.05,6.09,3157.0,6.13362,19
2024-02-14 04:03:45-05:00,6.04,6.12,6.03,6.12,1308.0,6.07021,8
2024-02-14 04:03:50-05:00,6.1,6.29,6.03,6.29,7607.0,6.17671,33
2024-02-14 04:03:55-05:00,6.18,6.4,6.18,6.23,5732.0,6.28222,35
2024-02-14 04:04:00-05:00,6.3,6.4,6.23,6.4,10713.0,6.36661,43
2024-02-14 04:04:05-05:00,6.4,6.8,6.31,6.52,10885.0,6.5517,44
2024-02-14 04:04:10-05:00,6.42,6.6,6.21,6.21,11195.0,6.42166,46
2024-02-14 04:04:15-05:00,6.21,6.28,6.0,6.0,12565.0,6.08639,57
2024-02-14 04:04:20-05:00,6.06,6.15,5.8,5.8,6234.0,5.95704,39
2024-02-14 04:04:25-05:00,5.8,6.0,5.8,5.86,6180.0,5.88811,31
2024-02-14 04:04:30-05:00,5.9,6.0,5.81,6.0,4061.0,5.97375,19
2024-02-14 04:04:35-05:00,6.0,6.0,5.9,6.0,6530.0,5.98976,27
2024-02-14 04:04:40-05:00,6.0,6.31,5.97,6.05,5185.0,6.14306,25
