date,open,high,low,close,volume,average,barCount
2024-02-20 04:00:00-05:00,7.78,8.73,7.46,8.71,5295.0,8.227,14
2024-02-20 04:00:05-05:00,8.73,8.77,8.7,8.77,1373.0,8.73,7
2024-02-20 04:00:10-05:00,8.7,8.84,8.67,8.73,1499.0,8.732,10
2024-02-20 04:00:15-05:00,8.72,8.72,8.71,8.71,297.0,8.715,2
2024-02-20 04:00:20-05:00,8.87,8.87,8.87,8.87,113.0,8.87,1
2024-02-20 04:00:25-05:00,8.84,8.92,8.84,8.92,2557.0,8.883,8
2024-02-20 04:00:30-05:00,8.87,8.93,8.84,8.93,1583.0,8.896,10
2024-02-20 04:00:35-05:00,8.95,8.95,8.95,8.95,858.0,8.95,5
2024-02-20 04:00:40-05:00,8.98,8.99,8.98,8.98,300.0,8.983,3
2024-02-20 04:00:45-05:00,8.98,9.0,8.95,8.98,616.0,8.981,6
2024-02-20 04:00:50-05:00,8.99,9.0,8.99,9.0,990.0,8.998,6
2024-02-20 04:00:55-05:00,9.0,9.0,8.95,9.0,3367.0,8.985,16
2024-02-20 04:01:00-05:00,9.0,9.0,9.0,9.0,414.0,9.0,2
2024-02-20 04:01:05-05:00,9.0,9.05,9.0,9.05,2141.0,9.011,8
2024-02-20 04:01:10-05:00,9.0,9.15,9.0,9.02,3836.0,9.03,13
2024-02-20 04:01:15-05:00,9.14,9.14,9.14,9.14,100.0,9.14,1
2024-02-20 04:01:20-05:00,9.17,9.18,9.03,9.03,494.0,9.148,3
2024-02-20 04:01:25-05:00,9.14,9.19,9.03,9.19,3526.0,9.072,12
2024-02-20 04:01:30-05:00,9.06,9.22,9.03,9.03,1245.0,9.147,8
2024-02-20 04:01:35-05:00,9.03,9.03,9.03,9.03,0.0,9.03,0
2024-02-20 04:01:40-05:00,9.1,9.1,8.86,8.86,8276.0,9.005,26
2024-02-20 04:01:45-05:00,8.84,8.9,8.73,8.9,525.0,8.803,5
2024-02-20 04:01:50-05:00,8.86,8.87,8.86,8.87,356.0,8.866,2
2024-02-20 04:01:55-05:00,8.87,8.87,8.87,8.87,0.0,8.87,0
2024-02-20 04:02:00-05:00,8.87,8.87,8.84,8.84,666.0,8.856,4
2024-02-20 04:02:05-05:00,8.84,8.84,8.84,8.84,0.0,8.84,0
2024-02-20 04:02:10-05:00,8.84,8.84,8.84,8.84,0.0,8.84,0
2024-02-20 04:02:15-05:00,8.84,8.84,8.84,8.84,208.0,8.84,2
2024-02-20 04:02:20-05:00,8.84,8.84,8.84,8.84,100.0,8.84,1
2024-02-20 04:02:25-05:00,8.8,8.8,8.76,8.76,1164.0,8.776,3
2024-02-20 04:02:30-05:00,8.76,8.76,8.76,8.76,276.0,8.76,2
2024-02-20 04:02:35-05:00,8.76,8.76,8.74,8.74,1195.0,8.751,8
2024-02-20 04:02:40-05:00,8.75,8.75,8.74,8.74,462.0,8.747,2
2024-02-20 04:02:45-05:00,8.74,8.74,8.74,8.74,0.0,8.74,0
2024-02-20 04:02:50-05:00,8.79,8.79,8.79,8.79,100.0,8.79,1
2024-02-20 04:02:55-05:00,8.79,8.79,8.79,8.79,0.0,8.79,0
2024-02-20 04:03:00-05:00,8.75,8.75,8.74,8.74,708.0,8.741,4
2024-02-20 04:03:05-05:00,8.74,8.74,8.74,8.74,352.0,8.74,3
2024-02-20 04:03:10-05:00,8.76,8.76,8.74,8.74,200.0,8.75,2
2024-02-20 04:03:15-05:00,8.75,8.76,8.7,8.7,1967.0,8.742,13
2024-02-20 04:03:20-05:00,8.74,8.74,8.7,8.7,564.0,8.717,3
2024-02-20 04:03:25-05:00,8.67,8.77,8.66,8.77,2831.0,8.725,11
2024-02-20 04:03:30-05:00,8.77,8.77,8.77,8.77,0.0,8.77,0
2024-02-20 04:03:35-05:00,8.77,8.77,8.77,8.77,0.0,8.77,0
2024-02-20 04:03:40-05:00,8.77,8.77,8.77,8.77,0.0,8.77,0
2024-02-20 04:03:45-05:00,8.74,8.74,8.74,8.74,100.0,8.74,1
2024-02-20 04:03:50-05:00,8.74,8.74,8.74,8.74,0.0,8.74,0
2024-02-20 04:03:55-05:00,8.66,8.66,8.66,8.66,542.0,8.66,3
2024-02-20 04:04:00-05:00,8.68,8.68,8.66,8.66,200.0,8.67,2
2024-02-20 04:04:05-05:00,8.66,8.66,8.66,8.66,252.0,8.66,1
2024-02-20 04:04:10-05:00,8.66,8.66,8.66,8.66,130.0,8.66,1
2024-02-20 04:04:15-05:00,8.66,8.66,8.66,8.66,100.0,8.66,1
2024-02-20 04:04:20-05:00,8.66,8.66,8.66,8.66,0.0,8.66,0
2024-02-20 04:04:25-05:00,8.67,8.67,8.66,8.66,293.0,8.665,2
2024-02-20 04:04:30-05:00,8.66,8.66,8.66,8.66,358.0,8.66,2
2024-02-20 04:04:35-05:00,8.66,8.66,8.66,8.66,0.0,8.66,0
2024-02-20 04:04:40-05:00,8.65,8.65,8.64,8.64,474.0,8.647,3
2024-02-20 04:04:45-05:00,8.64,8.64,8.64,8.64,0.0,8.64,0
2024-02-20 04:04:50-05:00,8.64,8.64,8.64,8.64,0.0,8.64,0
2024-02-20 04:04:55-05:00,8.64,8.64,8.64,8.64,0.0,8.64,0
2024-02-20 04:05:00-05:00,8.64,8.64,8.64,8.64,0.0,8.64,0
2024-02-20 04:05:05-05:00,8.64,8.64,8.64,8.64,104.0,8.64,1
2024-02-20 04:05:10-05:00,8.65,8.65,8.65,8.65,100.0,8.65,1
2024-02-20 04:05:15-05:00,8.65,8.65,8.64,8.64,700.0,8.643,7
2024-02-20 04:05:20-05:00,8.64,8.64,8.64,8.64,0.0,8.64,0
2024-02-20 04:05:25-05:00,8.65,8.65,8.64,8.64,371.0,8.643,2
2024-02-20 04:05:30-05:00,8.64,8.64,8.64,8.64,0.0,8.64,0
2024-02-20 04:05:35-05:00,8.65,8.65,8.65,8.65,100.0,8.65,1
2024-02-20 04:05:40-05:00,8.65,8.65,8.65,8.65,0.0,8.65,0
2024-02-20 04:05:45-05:00,8.65,8.65,8.64,8.64,277.0,8.645,2
2024-02-20 04:05:50-05:00,8.64,8.64,8.64,8.64,0.0,8.64,0
2024-02-20 04:05:55-05:00,8.65,8.65,8.65,8.65,200.0,8.65,1
2024-02-20 04:06:00-05:00,8.65,8.7,8.65,8.7,942.0,8.661,4
2024-02-20 04:06:05-05:00,8.7,8.7,8.7,8.7,109.0,8.7,1
2024-02-20 04:06:10-05:00,8.7,8.7,8.7,8.7,0.0,8.7,0
