date,open,high,low,close,volume,average,barCount
2024-03-14 04:00:00-04:00,4.1,4.19,4.1,4.19,644.0,4.14,3
2024-03-14 04:00:05-04:00,4.18,4.3,4.18,4.3,1807.0,4.21,9
2024-03-14 04:00:10-04:00,4.3,4.44,4.3,4.44,1613.0,4.417,12
2024-03-14 04:00:15-04:00,4.43,4.59,4.43,4.51,1730.0,4.488,14
2024-03-14 04:00:20-04:00,4.49,4.7,4.47,4.55,2492.0,4.528,17
2024-03-14 04:00:25-04:00,4.55,4.7,4.5,4.59,3179.0,4.571,27
2024-03-14 04:00:30-04:00,4.65,4.69,4.56,4.65,1427.0,4.634,11
2024-03-14 04:00:35-04:00,4.7,4.7,4.65,4.7,5531.0,4.672,28
2024-03-14 04:00:40-04:00,4.7,5.03,4.7,4.93,6562.0,4.921,30
2024-03-14 04:00:45-04:00,4.9,4.92,4.7,4.7,8088.0,4.847,30
2024-03-14 04:00:50-04:00,4.7,4.88,4.68,4.75,3140.0,4.732,14
2024-03-14 04:00:55-04:00,4.76,4.76,4.71,4.75,4132.0,4.735,24
2024-03-14 04:01:00-04:00,4.75,4.75,4.68,4.68,2727.0,4.718,17
2024-03-14 04:01:05-04:00,4.68,4.73,4.66,4.66,2024.0,4.673,10
2024-03-14 04:01:10-04:00,4.68,4.72,4.65,4.66,3416.0,4.683,25
2024-03-14 04:01:15-04:00,4.69,4.89,4.66,4.84,5460.0,4.796,26
2024-03-14 04:01:20-04:00,4.84,4.9,4.84,4.9,3819.0,4.876,24
2024-03-14 04:01:25-04:00,4.88,4.9,4.71,4.71,5000.0,4.829,30
2024-03-14 04:01:30-04:00,4.71,4.84,4.7,4.78,2081.0,4.733,10
2024-03-14 04:01:35-04:00,4.72,4.78,4.7,4.72,3861.0,4.723,21
2024-03-14 04:01:40-04:00,4.7,4.72,4.66,4.66,10089.0,4.689,41
2024-03-14 04:01:45-04:00,4.66,4.66,4.59,4.59,1386.0,4.629,11
2024-03-14 04:01:50-04:00,4.63,4.66,4.6,4.6,1443.0,4.61,11
2024-03-14 04:01:55-04:00,4.56,4.56,4.51,4.56,1103.0,4.541,7
2024-03-14 04:02:00-04:00,4.56,4.6,4.56,4.6,1265.0,4.574,5
2024-03-14 04:02:05-04:00,4.6,4.6,4.59,4.59,3900.0,4.599,12
2024-03-14 04:02:10-04:00,4.63,4.65,4.6,4.63,1113.0,4.621,5
2024-03-14 04:02:15-04:00,4.65,4.69,4.63,4.69,1167.0,4.654,7
2024-03-14 04:02:20-04:00,4.72,4.78,4.72,4.76,2303.0,4.746,12
2024-03-14 04:02:25-04:00,4.76,4.9,4.76,4.89,8535.0,4.854,26
2024-03-14 04:02:30-04:00,4.86,5.33,4.84,5.03,15762.0,5.056,51
2024-03-14 04:02:35-04:00,5.19,5.19,5.02,5.13,6077.0,5.079,28
2024-03-14 04:02:40-04:00,5.18,5.26,5.07,5.26,9141.0,5.176,45
2024-03-14 04:02:45-04:00,5.21,5.33,5.2,5.3,7343.0,5.255,41
2024-03-14 04:02:50-04:00,5.24,5.33,5.18,5.18,5126.0,5.259,31
2024-03-14 04:02:55-04:00,5.2,5.2,4.93,5.08,5573.0,5.105,20
2024-03-14 04:03:00-04:00,5.05,5.08,4.87,4.94,6382.0,4.978,41
2024-03-14 04:03:05-04:00,4.89,5.0,4.89,4.98,2758.0,4.965,16
2024-03-14 04:03:10-04:00,4.96,5.0,4.88,5.0,8637.0,4.964,21
