date,open,high,low,close,volume,average,barCount
2024-03-14 09:30:00-04:00,5.62,5.62,5.62,5.62,2847.0,5.62,1
2024-03-14 09:30:05-04:00,5.66,5.66,5.65,5.66,100.0,5.655,1
2024-03-14 09:30:10-04:00,5.66,5.66,5.65,5.66,0.0,5.66,0
2024-03-14 09:30:15-04:00,5.66,5.66,5.65,5.66,0.0,5.66,0
2024-03-14 09:30:20-04:00,5.66,5.66,5.65,5.66,0.0,5.66,0
2024-03-14 09:30:25-04:00,5.66,5.66,5.65,5.66,0.0,5.66,0
2024-03-14 09:30:30-04:00,5.66,5.66,5.65,5.66,0.0,5.66,0
2024-03-14 09:30:35-04:00,5.66,5.66,5.65,5.66,0.0,5.66,0
2024-03-14 09:30:40-04:00,5.66,5.66,5.65,5.66,0.0,5.66,0
2024-03-14 09:30:45-04:00,5.66,5.66,5.65,5.66,0.0,5.66,0
2024-03-14 09:30:50-04:00,5.66,5.66,5.65,5.66,0.0,5.66,0
2024-03-14 09:30:55-04:00,5.66,5.66,5.65,5.66,0.0,5.66,0
2024-03-14 09:31:00-04:00,5.66,5.66,5.65,5.66,0.0,5.66,0
2024-03-14 09:31:05-04:00,5.66,5.66,5.65,5.66,0.0,5.66,0
2024-03-14 09:31:10-04:00,5.66,5.66,5.65,5.66,0.0,5.66,0
2024-03-14 09:31:15-04:00,5.66,5.66,5.65,5.66,0.0,5.66,0
2024-03-14 09:31:20-04:00,5.66,5.66,5.65,5.66,0.0,5.66,0
2024-03-14 09:31:25-04:00,5.66,5.66,5.65,5.66,0.0,5.66,0
2024-03-14 09:31:30-04:00,5.66,5.66,5.65,5.66,0.0,5.66,0
2024-03-14 09:31:35-04:00,5.66,5.66,5.65,5.66,0.0,5.66,0
2024-03-14 09:31:40-04:00,5.66,5.66,5.65,5.66,0.0,5.66,0
2024-03-14 09:31:45-04:00,5.66,5.66,5.65,5.66,0.0,5.66,0
2024-03-14 09:31:50-04:00,5.66,5.66,5.65,5.66,0.0,5.66,0
2024-03-14 09:31:55-04:00,5.66,5.66,5.65,5.66,0.0,5.66,0
2024-03-14 09:32:00-04:00,5.66,5.66,5.65,5.66,0.0,5.66,0
2024-03-14 09:32:05-04:00,5.66,5.66,5.65,5.66,0.0,5.66,0
2024-03-14 09:32:10-04:00,5.66,5.66,5.65,5.66,0.0,5.66,0
2024-03-14 09:32:15-04:00,5.64,5.64,5.63,5.63,850.0,5.631,4
2024-03-14 09:32:20-04:00,5.63,5.63,5.63,5.63,0.0,5.63,0
2024-03-14 09:32:25-04:00,5.63,5.63,5.63,5.63,0.0,5.63,0
2024-03-14 09:32:30-04:00,5.63,5.63,5.63,5.63,0.0,5.63,0
2024-03-14 09:32:35-04:00,5.63,5.63,5.63,5.63,0.0,5.63,0
2024-03-14 09:32:40-04:00,5.63,5.63,5.63,5.63,0.0,5.63,0
2024-03-14 09:32:45-04:00,5.63,5.63,5.63,5.63,0.0,5.63,0
2024-03-14 09:32:50-04:00,5.63,5.63,5.63,5.63,0.0,5.63,0
2024-03-14 09:32:55-04:00,5.63,5.63,5.63,5.63,0.0,5.63,0
2024-03-14 09:33:00-04:00,5.64,5.64,5.64,5.64,300.0,5.64,2
2024-03-14 09:33:05-04:00,5.64,5.64,5.64,5.64,0.0,5.64,0
2024-03-14 09:33:10-04:00,5.64,5.64,5.64,5.64,0.0,5.64,0
