date,open,high,low,close,volume,average,barCount
2024-04-02 04:00:00-04:00,6.96,6.98,6.96,6.98,520.0,6.968,3
2024-04-02 04:00:05-04:00,6.98,6.98,6.98,6.98,0.0,6.98,0
2024-04-02 04:00:10-04:00,6.98,6.98,6.98,6.98,0.0,6.98,0
2024-04-02 04:00:15-04:00,6.97,6.97,6.97,6.97,138.0,6.97,1
2024-04-02 04:00:20-04:00,7.1,7.1,7.1,7.1,300.0,7.1,1
2024-04-02 04:00:25-04:00,7.13,7.13,7.1,7.1,465.0,7.106,2
2024-04-02 04:00:30-04:00,7.1,7.1,7.1,7.1,250.0,7.1,1
2024-04-02 04:00:35-04:00,7.1,7.1,7.1,7.1,200.0,7.1,2
2024-04-02 04:00:40-04:00,7.1,7.1,7.1,7.1,0.0,7.1,0
2024-04-02 04:00:45-04:00,7.07,7.07,6.9,6.9,955.0,7.022,6
2024-04-02 04:00:50-04:00,7.05,7.05,7.05,7.05,100.0,7.05,1
2024-04-02 04:00:55-04:00,7.0,7.0,7.0,7.0,250.0,7.0,1
2024-04-02 04:01:00-04:00,7.0,7.0,7.0,7.0,0.0,7.0,0
2024-04-02 04:01:05-04:00,7.04,7.06,7.04,7.06,488.0,7.048,4
2024-04-02 04:01:10-04:00,7.06,7.06,7.06,7.06,0.0,7.06,0
2024-04-02 04:01:15-04:00,7.06,7.06,7.06,7.06,0.0,7.06,0
2024-04-02 04:01:20-04:00,7.06,7.06,7.06,7.06,104.0,7.06,1
2024-04-02 04:01:25-04:00,7.07,7.17,7.07,7.17,2245.0,7.112,10
2024-04-02 04:01:30-04:00,7.17,7.18,7.17,7.18,1049.0,7.174,6
2024-04-02 04:01:35-04:00,7.33,7.35,7.33,7.35,450.0,7.346,2
2024-04-02 04:01:40-04:00,7.35,7.5,7.31,7.48,4647.0,7.429,25
2024-04-02 04:01:45-04:00,7.49,7.64,7.42,7.64,2489.0,7.484,14
2024-04-02 04:01:50-04:00,7.61,7.62,7.53,7.53,1455.0,7.575,8
2024-04-02 04:01:55-04:00,7.61,7.86,7.57,7.68,4336.0,7.649,27
2024-04-02 04:02:00-04:00,7.83,7.83,7.71,7.76,2015.0,7.753,13
2024-04-02 04:02:05-04:00,7.65,7.96,7.65,7.87,3200.0,7.845,16
2024-04-02 04:02:10-04:00,7.87,8.1,7.86,8.1,2422.0,7.952,14
2024-04-02 04:02:15-04:00,8.02,8.1,7.96,7.96,2213.0,8.018,14
2024-04-02 04:02:20-04:00,7.96,8.31,7.94,8.31,4530.0,8.082,22
2024-04-02 04:02:25-04:00,8.25,8.32,8.19,8.19,2821.0,8.262,13
2024-04-02 04:02:30-04:00,8.19,8.26,8.09,8.09,1129.0,8.173,10
2024-04-02 04:02:35-04:00,8.1,8.19,8.1,8.18,1496.0,8.148,10
2024-04-02 04:02:40-04:00,8.2,8.28,8.14,8.2,2074.0,8.234,12
2024-04-02 04:02:45-04:00,8.26,8.27,8.26,8.26,464.0,8.262,4
2024-04-02 04:02:50-04:00,8.24,8.25,8.14,8.14,1115.0,8.215,6
2024-04-02 04:02:55-04:00,8.13,8.13,8.1,8.1,768.0,8.105,6
2024-04-02 04:03:00-04:00,8.13,8.13,8.11,8.11,400.0,8.118,4
2024-04-02 04:03:05-04:00,8.1,8.12,8.1,8.12,344.0,8.109,3
2024-04-02 04:03:10-04:00,8.11,8.26,8.11,8.26,2556.0,8.175,12
2024-04-02 04:03:15-04:00,8.24,8.26,8.24,8.26,450.0,8.256,3
2024-04-02 04:03:20-04:00,8.28,8.4,8.28,8.34,4543.0,8.309,20
2024-04-02 04:03:25-04:00,8.34,8.4,8.32,8.4,1902.0,8.349,10
2024-04-02 04:03:30-04:00,8.39,8.5,8.39,8.5,3445.0,8.446,22
2024-04-02 04:03:35-04:00,8.5,8.65,8.49,8.51,3873.0,8.537,16
2024-04-02 04:03:40-04:00,8.51,8.51,8.4,8.4,3528.0,8.458,17
2024-04-02 04:03:45-04:00,8.4,8.49,8.4,8.42,966.0,8.446,7
2024-04-02 04:03:50-04:00,8.47,8.47,8.38,8.38,3081.0,8.43,20
2024-04-02 04:03:55-04:00,8.38,8.38,8.26,8.3,1647.0,8.314,9
2024-04-02 04:04:00-04:00,8.26,8.3,8.26,8.3,862.0,8.285,6
2024-04-02 04:04:05-04:00,8.26,8.26,8.25,8.25,1101.0,8.256,7
2024-04-02 04:04:10-04:00,8.2,8.2,8.1,8.14,827.0,8.131,7
2024-04-02 04:04:15-04:00,8.12,8.13,8.12,8.13,826.0,8.129,4
