date,open,high,low,close,volume,average,barCount
2024-04-03 04:00:00-04:00,4.21,4.21,4.1,4.11,2821.0,4.14207,7
2024-04-03 04:00:05-04:00,4.09,4.11,4.09,4.09,766.0,4.09813,5
2024-04-03 04:00:10-04:00,4.17,4.17,4.11,4.17,4265.0,4.15874,17
2024-04-03 04:00:15-04:00,4.16,4.17,4.16,4.17,2962.0,4.16712,20
2024-04-03 04:00:20-04:00,4.17,4.4,4.16,4.4,1954.0,4.25084,14
2024-04-03 04:00:25-04:00,4.39,4.39,4.24,4.34,2457.0,4.34553,9
2024-04-03 04:00:30-04:00,4.34,4.42,4.34,4.41,1842.0,4.40318,13
2024-04-03 04:00:35-04:00,4.43,4.46,4.41,4.41,1991.0,4.43692,9
2024-04-03 04:00:40-04:00,4.42,4.53,4.4,4.53,4628.0,4.47615,24
2024-04-03 04:00:45-04:00,4.48,4.56,4.48,4.5,5649.0,4.51916,28
2024-04-03 04:00:50-04:00,4.49,4.52,4.46,4.46,2969.0,4.48778,21
2024-04-03 04:00:55-04:00,4.41,4.45,4.41,4.45,697.0,4.42004,4
2024-04-03 04:01:00-04:00,4.46,4.46,4.46,4.46,204.0,4.46,2
2024-04-03 04:01:05-04:00,4.5,4.54,4.49,4.54,2353.0,4.51996,18
2024-04-03 04:01:10-04:00,4.53,4.59,4.53,4.59,3080.0,4.54781,21
2024-04-03 04:01:15-04:00,4.6,4.69,4.59,4.68,3266.0,4.65427,21
2024-04-03 04:01:20-04:00,4.67,4.79,4.67,4.75,3252.0,4.72938,18
2024-04-03 04:01:25-04:00,4.75,4.8,4.73,4.77,3564.0,4.75179,28
2024-04-03 04:01:30-04:00,4.72,4.95,4.72,4.87,7697.0,4.8329,46
2024-04-03 04:01:35-04:00,4.9,4.93,4.89,4.92,5702.0,4.90111,22
2024-04-03 04:01:40-04:00,4.94,5.04,4.9,5.04,5755.0,4.97583,32
2024-04-03 04:01:45-04:00,5.04,5.05,4.97,5.04,12618.0,5.01827,50
2024-04-03 04:01:50-04:00,5.02,5.1,5.02,5.08,4471.0,5.04576,26
2024-04-03 04:01:55-04:00,5.07,5.07,5.0,5.02,2622.0,5.02712,15
2024-04-03 04:02:00-04:00,5.02,5.05,4.99,4.99,5626.0,5.00965,41
2024-04-03 04:02:05-04:00,4.99,5.0,4.97,4.97,1169.0,4.98968,8
2024-04-03 04:02:10-04:00,4.97,5.0,4.89,4.92,5326.0,4.92751,32
2024-04-03 04:02:15-04:00,4.94,4.94,4.91,4.91,687.0,4.92118,4
2024-04-03 04:02:20-04:00,4.92,4.92,4.9,4.9,916.0,4.91422,4
2024-04-03 04:02:25-04:00,4.9,4.9,4.84,4.84,2314.0,4.86752,17
2024-04-03 04:02:30-04:00,4.84,4.85,4.77,4.81,3265.0,4.80618,25
2024-04-03 04:02:35-04:00,4.78,4.85,4.78,4.83,3784.0,4.81291,26
2024-04-03 04:02:40-04:00,4.83,4.83,4.8,4.8,4097.0,4.81676,22
2024-04-03 04:02:45-04:00,4.81,4.84,4.73,4.73,3572.0,4.77082,18
2024-04-03 04:02:50-04:00,4.73,4.74,4.63,4.67,2645.0,4.69237,19
2024-04-03 04:02:55-04:00,4.67,4.76,4.67,4.72,3066.0,4.70453,15
2024-04-03 04:03:00-04:00,4.72,4.78,4.7,4.76,2833.0,4.72934,21
2024-04-03 04:03:05-04:00,4.75,4.75,4.63,4.63,2172.0,4.70381,16
2024-04-03 04:03:10-04:00,4.63,4.7,4.63,4.7,1474.0,4.66539,10
2024-04-03 04:03:15-04:00,4.7,4.77,4.7,4.77,3938.0,4.73985,21
2024-04-03 04:03:20-04:00,4.75,4.77,4.75,4.76,722.0,4.76139,6
2024-04-03 04:03:25-04:00,4.75,4.77,4.71,4.73,4939.0,4.74032,21
2024-04-03 04:03:30-04:00,4.715,4.72,4.69,4.69,2305.0,4.6971,10
2024-04-03 04:03:35-04:00,4.68,4.72,4.65,4.65,3465.0,4.68975,18
2024-04-03 04:03:40-04:00,4.71,4.71,4.7,4.7,200.0,4.705,2
2024-04-03 04:03:45-04:00,4.71,4.72,4.7,4.72,1807.0,4.71463,10
2024-04-03 04:03:50-04:00,4.69,4.69,4.66,4.67,1058.0,4.67433,8
2024-04-03 04:03:55-04:00,4.67,4.67,4.66,4.66,700.0,4.66214,3
2024-04-03 04:04:00-04:00,4.66,4.66,4.62,4.62,1220.0,4.64344,9
2024-04-03 04:04:05-04:00,4.63,4.67,4.62,4.62,1345.0,4.6468,8
2024-04-03 04:04:10-04:00,4.65,4.65,4.65,4.65,100.0,4.65,1
2024-04-03 04:04:15-04:00,4.65,4.66,4.65,4.66,757.0,4.65198,3
2024-04-03 04:04:20-04:00,4.68,4.7,4.67,4.67,1940.0,4.68778,11
2024-04-03 04:04:25-04:00,4.69,4.69,4.66,4.68,400.0,4.675,4
2024-04-03 04:04:30-04:00,4.68,4.68,4.68,4.68,0.0,4.68,0
2024-04-03 04:04:35-04:00,4.7,4.7,4.7,4.7,200.0,4.7,2
2024-04-03 04:04:40-04:00,4.7,4.73,4.7,4.72,1978.0,4.70455,9
2024-04-03 04:04:45-04:00,4.72,4.73,4.7,4.72,500.0,4.72,5
2024-04-03 04:04:50-04:00,4.73,4.73,4.68,4.68,2270.0,4.69474,15
2024-04-03 04:04:55-04:00,4.67,4.67,4.6,4.63,2422.0,4.62284,15
2024-04-03 04:05:00-04:00,4.63,4.63,4.63,4.63,0.0,4.63,0
2024-04-03 04:05:05-04:00,4.63,4.63,4.52,4.52,2581.0,4.5747,12
2024-04-03 04:05:10-04:00,4.55,4.6,4.55,4.6,650.0,4.58,6
2024-04-03 04:05:15-04:00,4.63,4.7,4.59,4.6,6404.0,4.66994,28
2024-04-03 04:05:20-04:00,4.6,4.63,4.6,4.6,2188.0,4.60183,11
2024-04-03 04:05:25-04:00,4.57,4.67,4.57,4.6,3066.0,4.60228,16
2024-04-03 04:05:30-04:00,4.6,4.6,4.6,4.6,0.0,4.6,0
2024-04-03 04:05:35-04:00,4.61,4.65,4.58,4.58,3829.0,4.60601,25
2024-04-03 04:05:40-04:00,4.58,4.59,4.53,4.53,1436.0,4.56389,11
2024-04-03 04:05:45-04:00,4.53,4.57,4.52,4.53,977.0,4.53495,8
2024-04-03 04:05:50-04:00,4.52,4.63,4.5,4.63,4220.0,4.54038,15
2024-04-03 04:05:55-04:00,4.57,4.57,4.56,4.56,756.0,4.56132,5
2024-04-03 04:06:00-04:00,4.61,4.66,4.61,4.65,900.0,4.63778,8
2024-04-03 04:06:05-04:00,4.62,4.62,4.62,4.62,100.0,4.62,1
2024-04-03 04:06:10-04:00,4.59,4.63,4.58,4.63,500.0,4.602,5
2024-04-03 04:06:15-04:00,4.64,4.64,4.63,4.63,564.0,4.63645,4
2024-04-03 04:06:20-04:00,4.63,4.64,4.63,4.64,1740.0,4.63287,6
2024-04-03 04:06:25-04:00,4.64,4.64,4.58,4.58,3783.0,4.62978,8
2024-04-03 04:06:30-04:00,4.58,4.58,4.58,4.58,0.0,4.58,0
2024-04-03 04:06:35-04:00,4.61,4.63,4.61,4.63,672.0,4.61664,5
2024-04-03 04:06:40-04:00,4.6,4.6,4.6,4.6,235.0,4.6,1
2024-04-03 04:06:45-04:00,4.61,4.61,4.61,4.61,200.0,4.61,2
2024-04-03 04:06:50-04:00,4.63,4.63,4.6,4.6,877.0,4.61046,6
2024-04-03 04:06:55-04:00,4.63,4.63,4.6,4.6,1457.0,4.60951,11
2024-04-03 04:07:00-04:00,4.63,4.63,4.63,4.63,100.0,4.63,1
2024-04-03 04:07:05-04:00,4.6,4.6,4.6,4.6,757.0,4.6,3
2024-04-03 04:07:10-04:00,4.6,4.6,4.57,4.57,2189.0,4.58423,11
2024-04-03 04:07:15-04:00,4.55,4.55,4.53,4.53,599.0,4.54002,3
2024-04-03 04:07:20-04:00,4.56,4.56,4.53,4.53,395.0,4.54519,2
2024-04-03 04:07:25-04:00,4.55,4.55,4.54,4.55,500.0,4.548,5
2024-04-03 04:07:30-04:00,4.54,4.55,4.54,4.55,1400.0,4.548,4
2024-04-03 04:07:35-04:00,4.55,4.56,4.55,4.56,885.0,4.55774,3
2024-04-03 04:07:40-04:00,4.56,4.56,4.54,4.54,2147.0,4.54512,7
2024-04-03 04:07:45-04:00,4.57,4.57,4.55,4.55,1165.0,4.56485,5
2024-04-03 04:07:50-04:00,4.54,4.55,4.53,4.53,653.0,4.53694,5
2024-04-03 04:07:55-04:00,4.52,4.53,4.48,4.48,4142.0,4.50466,24
2024-04-03 04:08:00-04:00,4.46,4.5,4.46,4.5,1675.0,4.48579,10
2024-04-03 04:08:05-04:00,4.48,4.48,4.47,4.47,1775.0,4.47282,8
2024-04-03 04:08:10-04:00,4.47,4.47,4.46,4.46,687.0,4.46403,4
2024-04-03 04:08:15-04:00,4.46,4.46,4.44,4.44,1192.0,4.44613,4
2024-04-03 04:08:20-04:00,4.45,4.46,4.44,4.46,1936.0,4.45037,10
2024-04-03 04:08:25-04:00,4.47,4.48,4.44,4.45,3363.0,4.45372,19
2024-04-03 04:08:30-04:00,4.45,4.46,4.45,4.46,200.0,4.455,2
2024-04-03 04:08:35-04:00,4.46,4.46,4.46,4.46,539.0,4.46,4
2024-04-03 04:08:40-04:00,4.46,4.46,4.46,4.46,600.0,4.46,2
2024-04-03 04:08:45-04:00,4.46,4.46,4.46,4.46,793.0,4.46,3
2024-04-03 04:08:50-04:00,4.46,4.46,4.46,4.46,0.0,4.46,0
2024-04-03 04:08:55-04:00,4.48,4.52,4.48,4.52,761.0,4.49051,5
2024-04-03 04:09:00-04:00,4.52,4.53,4.52,4.53,500.0,4.524,5
2024-04-03 04:09:05-04:00,4.5,4.5,4.5,4.5,200.0,4.5,2
2024-04-03 04:09:10-04:00,4.48,4.48,4.48,4.48,300.0,4.48,3
2024-04-03 04:09:15-04:00,4.48,4.48,4.48,4.48,0.0,4.48,0
2024-04-03 04:09:20-04:00,4.48,4.48,4.48,4.48,0.0,4.48,0
2024-04-03 04:09:25-04:00,4.52,4.52,4.49,4.49,778.0,4.50843,5
2024-04-03 04:09:30-04:00,4.49,4.49,4.49,4.49,0.0,4.49,0
2024-04-03 04:09:35-04:00,4.49,4.49,4.49,4.49,100.0,4.49,1
2024-04-03 04:09:40-04:00,4.49,4.49,4.49,4.49,0.0,4.49,0
2024-04-03 04:09:45-04:00,4.5,4.5,4.48,4.48,730.0,4.48548,3
2024-04-03 04:09:50-04:00,4.51,4.51,4.5,4.51,640.0,4.50469,3
2024-04-03 04:09:55-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
2024-04-03 04:10:00-04:00,4.51,4.51,4.51,4.51,0.0,4.51,0
