date,open,high,low,close,volume,average,barCount
2024-04-09 04:01:25-04:00,3.26,3.26,3.26,3.26,275.0,3.26,1
2024-04-09 04:01:30-04:00,3.26,3.26,3.26,3.26,0.0,3.26,0
2024-04-09 04:01:35-04:00,3.26,3.26,3.26,3.26,0.0,3.26,0
2024-04-09 04:01:40-04:00,3.25,3.25,3.25,3.25,100.0,3.25,1
2024-04-09 04:01:45-04:00,3.25,3.25,3.25,3.25,0.0,3.25,0
2024-04-09 04:01:50-04:00,3.25,3.25,3.25,3.25,0.0,3.25,0
2024-04-09 04:01:55-04:00,3.25,3.25,3.25,3.25,0.0,3.25,0
2024-04-09 04:02:00-04:00,3.26,3.26,3.26,3.26,200.0,3.26,1
2024-04-09 04:02:05-04:00,3.26,3.3,3.26,3.3,600.0,3.27333,3
2024-04-09 04:02:10-04:00,3.3,3.3,3.3,3.3,600.0,3.3,3
2024-04-09 04:02:15-04:00,3.3,3.3,3.3,3.3,0.0,3.3,0
2024-04-09 04:02:20-04:00,3.3,3.3,3.3,3.3,0.0,3.3,0
2024-04-09 04:02:25-04:00,3.3,3.3,3.3,3.3,0.0,3.3,0
2024-04-09 04:02:30-04:00,3.3,3.3,3.3,3.3,0.0,3.3,0
2024-04-09 04:02:35-04:00,3.3,3.3,3.3,3.3,0.0,3.3,0
2024-04-09 04:02:40-04:00,3.3,3.3,3.3,3.3,0.0,3.3,0
2024-04-09 04:02:45-04:00,3.3,3.3,3.3,3.3,0.0,3.3,0
2024-04-09 04:02:50-04:00,3.3,3.3,3.3,3.3,0.0,3.3,0
2024-04-09 04:02:55-04:00,3.33,3.33,3.33,3.33,100.0,3.33,1
2024-04-09 04:03:00-04:00,3.4,3.4,3.39,3.39,300.0,3.39667,3
2024-04-09 04:03:05-04:00,3.4,3.4,3.4,3.4,165.0,3.4,1
2024-04-09 04:03:10-04:00,3.47,3.47,3.45,3.45,300.0,3.45667,3
2024-04-09 04:03:15-04:00,3.46,3.46,3.46,3.46,200.0,3.46,2
2024-04-09 04:03:20-04:00,3.47,3.59,3.47,3.59,2411.0,3.5286,10
2024-04-09 04:03:25-04:00,3.54,3.68,3.54,3.66,2875.0,3.6332,10
2024-04-09 04:03:30-04:00,3.68,3.68,3.66,3.66,698.0,3.66287,4
2024-04-09 04:03:35-04:00,3.65,3.65,3.51,3.51,200.0,3.58,2
2024-04-09 04:03:40-04:00,3.51,3.51,3.51,3.51,0.0,3.51,0
2024-04-09 04:03:45-04:00,3.63,3.63,3.63,3.63,198.0,3.63,1
2024-04-09 04:03:50-04:00,3.68,3.7,3.68,3.7,1057.0,3.69026,5
2024-04-09 04:03:55-04:00,3.74,3.9,3.71,3.9,3128.0,3.76636,16
2024-04-09 04:04:00-04:00,3.86,3.94,3.81,3.9,1285.0,3.88901,9
2024-04-09 04:04:05-04:00,3.87,4.09,3.87,4.09,3430.0,3.92475,16
2024-04-09 04:04:10-04:00,4.21,4.33,4.19,4.19,1242.0,4.27219,8
2024-04-09 04:04:15-04:00,4.2,4.28,4.16,4.28,1663.0,4.18633,11
2024-04-09 04:04:20-04:00,4.19,4.31,4.18,4.22,4500.0,4.22787,17
2024-04-09 04:04:25-04:00,4.23,4.38,4.21,4.38,5636.0,4.30971,32
2024-04-09 04:04:30-04:00,4.38,4.4,4.32,4.38,9163.0,4.37174,49
2024-04-09 04:04:35-04:00,4.32,4.5,4.32,4.45,14270.0,4.46892,72
2024-04-09 04:04:40-04:00,4.49,4.74,4.49,4.7,7703.0,4.5169,25
2024-04-09 04:04:45-04:00,4.71,4.75,4.61,4.69,11143.0,4.7007,63
2024-04-09 04:04:50-04:00,4.69,4.74,4.51,4.51,16593.0,4.64769,72
2024-04-09 04:04:55-04:00,4.5,4.5,4.38,4.4,5566.0,4.43377,33
2024-04-09 04:05:00-04:00,4.38,4.47,4.38,4.47,7270.0,4.41317,32
2024-04-09 04:05:05-04:00,4.47,4.47,4.41,4.46,5415.0,4.41916,31
2024-04-09 04:05:10-04:00,4.43,4.5,4.415,4.5,11421.0,4.44295,65
2024-04-09 04:05:15-04:00,4.47,4.57,4.41,4.51,6540.0,4.49908,32
2024-04-09 04:05:20-04:00,4.51,4.56,4.47,4.5,9174.0,4.50009,41
2024-04-09 04:05:25-04:00,4.475,4.5,4.33,4.37,8259.0,4.41971,49
2024-04-09 04:05:30-04:00,4.31,4.31,4.07,4.26,3444.0,4.20116,23
2024-04-09 04:05:35-04:00,4.2,4.2,4.11,4.12,1475.0,4.14473,11
2024-04-09 04:05:40-04:00,4.12,4.32,4.12,4.32,9087.0,4.19521,39
2024-04-09 04:05:45-04:00,4.22,4.37,4.2,4.31,3813.0,4.29083,28
2024-04-09 04:05:50-04:00,4.3,4.3,4.22,4.29,3550.0,4.29176,23
2024-04-09 04:05:55-04:00,4.29,4.33,4.25,4.33,2515.0,4.27973,14
