date,open,high,low,close,volume,average,barCount
2024-04-15 04:00:00-04:00,13.32,17.0,13.32,14.0,6458.0,14.518,13
2024-04-15 04:00:05-04:00,13.39,13.4,13.39,13.4,908.0,13.398,3
2024-04-15 04:00:10-04:00,13.4,13.4,13.4,13.4,0.0,13.4,0
2024-04-15 04:00:15-04:00,13.4,13.4,13.4,13.4,0.0,13.4,0
2024-04-15 04:00:20-04:00,13.4,13.4,13.4,13.4,0.0,13.4,0
2024-04-15 04:00:25-04:00,13.4,13.4,13.4,13.4,0.0,13.4,0
2024-04-15 04:00:30-04:00,13.36,13.4,13.36,13.4,1903.0,13.394,12
2024-04-15 04:00:35-04:00,13.36,13.4,13.36,13.4,1199.0,13.395,5
2024-04-15 04:00:40-04:00,13.4,13.4,13.4,13.4,0.0,13.4,0
2024-04-15 04:00:45-04:00,14.5,14.5,14.5,14.5,500.0,14.5,4
2024-04-15 04:00:50-04:00,14.5,14.5,14.5,14.5,800.0,14.5,2
2024-04-15 04:00:55-04:00,14.99,14.99,14.99,14.99,200.0,14.99,2
2024-04-15 04:01:00-04:00,15.28,15.33,15.28,15.32,400.0,15.303,3
2024-04-15 04:01:05-04:00,15.32,15.32,15.32,15.32,0.0,15.32,0
2024-04-15 04:01:10-04:00,15.9,15.98,15.32,15.32,400.0,15.785,4
2024-04-15 04:01:15-04:00,15.32,15.32,15.32,15.32,0.0,15.32,0
2024-04-15 04:01:20-04:00,15.89,16.0,15.89,16.0,708.0,15.966,6
2024-04-15 04:01:25-04:00,16.01,16.02,16.01,16.02,200.0,16.015,2
2024-04-15 04:01:30-04:00,16.01,16.01,15.8,16.0,800.0,15.853,4
2024-04-15 04:01:35-04:00,16.0,16.0,16.0,16.0,0.0,16.0,0
2024-04-15 04:01:40-04:00,15.98,16.0,15.98,16.0,518.0,15.992,5
2024-04-15 04:01:45-04:00,16.0,16.0,16.0,16.0,282.0,16.0,2
2024-04-15 04:01:50-04:00,15.99,16.0,15.97,15.97,600.0,15.991,5
