date,open,high,low,close,volume,average,barCount
2024-04-15 06:00:05-04:00,8.52,8.75,8.52,8.75,800.0,8.578,3
2024-04-15 06:00:10-04:00,8.75,8.75,8.75,8.75,0.0,8.75,0
2024-04-15 06:00:15-04:00,8.75,8.75,8.75,8.75,0.0,8.75,0
2024-04-15 06:00:20-04:00,8.75,8.75,8.75,8.75,0.0,8.75,0
2024-04-15 06:00:25-04:00,8.75,8.75,8.75,8.75,0.0,8.75,0
2024-04-15 06:00:30-04:00,8.75,8.75,8.75,8.75,0.0,8.75,0
2024-04-15 06:00:35-04:00,8.75,8.75,8.75,8.75,0.0,8.75,0
2024-04-15 06:00:40-04:00,8.75,8.75,8.75,8.75,0.0,8.75,0
2024-04-15 06:00:45-04:00,8.75,8.75,8.75,8.75,0.0,8.75,0
2024-04-15 06:00:50-04:00,8.75,8.75,8.75,8.75,0.0,8.75,0
2024-04-15 06:00:55-04:00,8.75,8.75,8.75,8.75,0.0,8.75,0
2024-04-15 06:01:00-04:00,8.75,8.75,8.75,8.75,0.0,8.75,0
2024-04-15 06:01:05-04:00,8.75,8.75,8.75,8.75,0.0,8.75,0
2024-04-15 06:01:10-04:00,8.75,8.75,8.75,8.75,0.0,8.75,0
2024-04-15 06:01:15-04:00,8.75,8.75,8.75,8.75,0.0,8.75,0
2024-04-15 06:01:20-04:00,8.75,8.75,8.75,8.75,0.0,8.75,0
2024-04-15 06:01:25-04:00,8.75,8.75,8.75,8.75,0.0,8.75,0
2024-04-15 06:01:30-04:00,8.75,8.75,8.75,8.75,0.0,8.75,0
2024-04-15 06:01:35-04:00,8.75,8.75,8.75,8.75,0.0,8.75,0
2024-04-15 06:01:40-04:00,8.75,8.75,8.75,8.75,0.0,8.75,0
2024-04-15 06:01:45-04:00,8.75,8.75,8.75,8.75,0.0,8.75,0
2024-04-15 06:01:50-04:00,8.75,8.75,8.75,8.75,0.0,8.75,0
2024-04-15 06:01:55-04:00,8.75,8.75,8.75,8.75,0.0,8.75,0
2024-04-15 06:02:00-04:00,8.75,8.75,8.75,8.75,0.0,8.75,0
2024-04-15 06:02:05-04:00,8.75,8.75,8.75,8.75,0.0,8.75,0
2024-04-15 06:02:10-04:00,8.75,8.75,8.75,8.75,0.0,8.75,0
2024-04-15 06:02:15-04:00,8.75,8.75,8.75,8.75,0.0,8.75,0
2024-04-15 06:02:20-04:00,8.75,8.75,8.75,8.75,0.0,8.75,0
2024-04-15 06:02:25-04:00,10.68,10.68,10.63,10.63,633.0,10.638,2
2024-04-15 06:02:30-04:00,10.63,10.63,10.63,10.63,0.0,10.63,0
2024-04-15 06:02:35-04:00,10.63,10.63,10.63,10.63,0.0,10.63,0
2024-04-15 06:02:40-04:00,10.69,10.69,10.69,10.69,303.0,10.69,2
2024-04-15 06:02:45-04:00,10.69,10.69,10.69,10.69,0.0,10.69,0
2024-04-15 06:02:50-04:00,10.69,10.69,10.69,10.69,0.0,10.69,0
2024-04-15 06:02:55-04:00,10.69,10.69,10.69,10.69,0.0,10.69,0
2024-04-15 06:03:00-04:00,10.69,10.69,10.69,10.69,0.0,10.69,0
2024-04-15 06:03:05-04:00,10.69,10.69,10.69,10.69,0.0,10.69,0
2024-04-15 06:03:10-04:00,10.69,10.69,10.69,10.69,0.0,10.69,0
2024-04-15 06:03:15-04:00,10.43,10.43,10.35,10.35,950.0,10.373,5
2024-04-15 06:03:20-04:00,10.35,10.35,10.35,10.35,0.0,10.35,0
2024-04-15 06:03:25-04:00,10.35,10.35,10.35,10.35,0.0,10.35,0
2024-04-15 06:03:30-04:00,10.35,10.35,10.35,10.35,0.0,10.35,0
2024-04-15 06:03:35-04:00,10.35,10.35,10.35,10.35,0.0,10.35,0
2024-04-15 06:03:40-04:00,10.35,10.35,10.35,10.35,0.0,10.35,0
2024-04-15 06:03:45-04:00,10.35,10.35,10.35,10.35,1000.0,10.35,1
2024-04-15 06:03:50-04:00,10.35,10.35,10.35,10.35,1022.0,10.35,3
2024-04-15 06:03:55-04:00,10.35,10.35,10.35,10.35,0.0,10.35,0
2024-04-15 06:04:00-04:00,10.35,10.35,10.35,10.35,0.0,10.35,0
2024-04-15 06:04:05-04:00,10.37,10.37,10.37,10.37,200.0,10.37,1
2024-04-15 06:04:10-04:00,10.5,10.5,10.5,10.5,173.0,10.5,1
2024-04-15 06:04:15-04:00,10.5,10.5,10.5,10.5,0.0,10.5,0
2024-04-15 06:04:20-04:00,10.5,10.5,10.5,10.5,0.0,10.5,0
2024-04-15 06:04:25-04:00,10.5,10.5,10.5,10.5,0.0,10.5,0
2024-04-15 06:04:30-04:00,10.5,10.5,10.5,10.5,0.0,10.5,0
2024-04-15 06:04:35-04:00,10.5,10.5,10.5,10.5,0.0,10.5,0
2024-04-15 06:04:40-04:00,10.5,10.5,10.5,10.5,0.0,10.5,0
2024-04-15 06:04:45-04:00,10.5,10.5,10.5,10.5,0.0,10.5,0
2024-04-15 06:04:50-04:00,10.5,10.5,10.5,10.5,258.0,10.5,2
2024-04-15 06:04:55-04:00,10.5,10.5,10.5,10.5,0.0,10.5,0
2024-04-15 06:05:00-04:00,10.5,10.5,10.5,10.5,0.0,10.5,0
2024-04-15 06:05:05-04:00,10.5,10.5,10.5,10.5,300.0,10.5,2
2024-04-15 06:05:10-04:00,10.5,10.5,10.5,10.5,200.0,10.5,1
2024-04-15 06:05:15-04:00,10.5,10.5,10.5,10.5,0.0,10.5,0
2024-04-15 06:05:20-04:00,10.5,10.5,10.5,10.5,0.0,10.5,0
2024-04-15 06:05:25-04:00,10.5,10.5,10.5,10.5,0.0,10.5,0
2024-04-15 06:05:30-04:00,10.5,10.5,10.5,10.5,0.0,10.5,0
2024-04-15 06:05:35-04:00,10.5,10.5,10.5,10.5,0.0,10.5,0
2024-04-15 06:05:40-04:00,10.45,10.45,10.45,10.45,100.0,10.45,1
2024-04-15 06:05:45-04:00,10.45,10.45,10.45,10.45,0.0,10.45,0
2024-04-15 06:05:50-04:00,10.45,10.45,10.45,10.45,0.0,10.45,0
2024-04-15 06:05:55-04:00,10.45,10.45,10.45,10.45,0.0,10.45,0
2024-04-15 06:06:00-04:00,10.45,10.45,10.45,10.45,0.0,10.45,0
2024-04-15 06:06:05-04:00,10.45,10.45,10.45,10.45,0.0,10.45,0
2024-04-15 06:06:10-04:00,10.58,10.59,10.58,10.59,368.0,10.585,3
2024-04-15 06:06:15-04:00,10.59,10.59,10.59,10.59,0.0,10.59,0
2024-04-15 06:06:20-04:00,10.59,10.59,10.59,10.59,0.0,10.59,0
2024-04-15 06:06:25-04:00,10.59,10.59,10.59,10.59,0.0,10.59,0
2024-04-15 06:06:30-04:00,10.59,10.59,10.59,10.59,0.0,10.59,0
2024-04-15 06:06:35-04:00,10.59,10.59,10.59,10.59,0.0,10.59,0
2024-04-15 06:06:40-04:00,10.59,10.59,10.59,10.59,0.0,10.59,0
2024-04-15 06:06:45-04:00,10.59,10.59,10.59,10.59,100.0,10.59,1
2024-04-15 06:06:50-04:00,10.59,10.59,10.59,10.59,341.0,10.59,2
2024-04-15 06:06:55-04:00,10.59,10.59,10.59,10.59,0.0,10.59,0
2024-04-15 06:07:00-04:00,10.59,10.59,10.59,10.59,0.0,10.59,0
2024-04-15 06:07:05-04:00,10.59,10.59,10.59,10.59,0.0,10.59,0
2024-04-15 06:07:10-04:00,10.59,10.59,10.59,10.59,0.0,10.59,0
2024-04-15 06:07:15-04:00,10.59,10.59,10.59,10.59,0.0,10.59,0
2024-04-15 06:07:20-04:00,10.59,10.59,10.59,10.59,0.0,10.59,0
2024-04-15 06:07:25-04:00,10.59,10.59,10.59,10.59,0.0,10.59,0
2024-04-15 06:07:30-04:00,10.59,10.59,10.59,10.59,0.0,10.59,0
2024-04-15 06:07:35-04:00,10.59,10.59,10.59,10.59,0.0,10.59,0
2024-04-15 06:07:40-04:00,10.59,10.59,10.59,10.59,0.0,10.59,0
2024-04-15 06:07:45-04:00,10.56,10.56,10.56,10.56,300.0,10.56,1
2024-04-15 06:07:50-04:00,10.56,10.56,10.56,10.56,0.0,10.56,0
2024-04-15 06:07:55-04:00,10.56,10.56,10.56,10.56,0.0,10.56,0
2024-04-15 06:08:00-04:00,10.56,10.56,10.56,10.56,0.0,10.56,0
2024-04-15 06:08:05-04:00,10.56,10.56,10.56,10.56,0.0,10.56,0
2024-04-15 06:08:10-04:00,10.56,10.56,10.56,10.56,0.0,10.56,0
2024-04-15 06:08:15-04:00,10.56,10.56,10.56,10.56,0.0,10.56,0
2024-04-15 06:08:20-04:00,10.56,10.56,10.56,10.56,0.0,10.56,0
2024-04-15 06:08:25-04:00,10.56,10.56,10.56,10.56,0.0,10.56,0
2024-04-15 06:08:30-04:00,10.56,10.56,10.56,10.56,0.0,10.56,0
2024-04-15 06:08:35-04:00,10.56,10.56,10.56,10.56,0.0,10.56,0
2024-04-15 06:08:40-04:00,10.56,10.56,10.56,10.56,0.0,10.56,0
2024-04-15 06:08:45-04:00,10.56,10.56,10.56,10.56,0.0,10.56,0
2024-04-15 06:08:50-04:00,10.56,10.56,10.56,10.56,0.0,10.56,0
2024-04-15 06:08:55-04:00,10.63,10.63,10.63,10.63,100.0,10.63,1
2024-04-15 06:09:00-04:00,10.63,10.63,10.63,10.63,100.0,10.63,1
2024-04-15 06:09:05-04:00,10.64,10.64,10.64,10.64,400.0,10.64,3
2024-04-15 06:09:10-04:00,10.64,10.64,10.64,10.64,0.0,10.64,0
2024-04-15 06:09:15-04:00,10.64,10.64,10.64,10.64,0.0,10.64,0
2024-04-15 06:09:20-04:00,10.64,10.64,10.64,10.64,0.0,10.64,0
2024-04-15 06:09:25-04:00,10.5,10.5,10.5,10.5,227.0,10.5,2
2024-04-15 06:09:30-04:00,10.51,10.51,10.51,10.51,120.0,10.51,1
2024-04-15 06:09:35-04:00,10.51,10.51,10.51,10.51,0.0,10.51,0
2024-04-15 06:09:40-04:00,10.51,10.51,10.51,10.51,0.0,10.51,0
2024-04-15 06:09:45-04:00,10.51,10.51,10.51,10.51,0.0,10.51,0
2024-04-15 06:09:50-04:00,10.51,10.51,10.51,10.51,0.0,10.51,0
2024-04-15 06:09:55-04:00,10.63,10.63,10.63,10.63,528.0,10.63,3
2024-04-15 06:10:00-04:00,10.63,10.63,10.63,10.63,0.0,10.63,0
2024-04-15 06:10:05-04:00,10.63,10.63,10.63,10.63,0.0,10.63,0
2024-04-15 06:10:10-04:00,10.63,10.63,10.63,10.63,0.0,10.63,0
2024-04-15 06:10:15-04:00,10.63,10.63,10.63,10.63,0.0,10.63,0
2024-04-15 06:10:20-04:00,10.63,10.63,10.63,10.63,0.0,10.63,0
2024-04-15 06:10:25-04:00,10.63,10.63,10.63,10.63,0.0,10.63,0
2024-04-15 06:10:30-04:00,10.63,10.63,10.63,10.63,0.0,10.63,0
2024-04-15 06:10:35-04:00,10.63,10.63,10.63,10.63,0.0,10.63,0
2024-04-15 06:10:40-04:00,10.63,10.63,10.63,10.63,0.0,10.63,0
2024-04-15 06:10:45-04:00,10.63,10.63,10.63,10.63,0.0,10.63,0
2024-04-15 06:10:50-04:00,10.63,10.63,10.63,10.63,0.0,10.63,0
2024-04-15 06:10:55-04:00,10.63,10.63,10.63,10.63,0.0,10.63,0
2024-04-15 06:11:00-04:00,10.63,10.63,10.63,10.63,0.0,10.63,0
2024-04-15 06:11:05-04:00,10.63,10.63,10.63,10.63,0.0,10.63,0
2024-04-15 06:11:10-04:00,10.63,10.63,10.63,10.63,0.0,10.63,0
2024-04-15 06:11:15-04:00,10.63,10.63,10.63,10.63,0.0,10.63,0
2024-04-15 06:11:20-04:00,10.63,10.63,10.63,10.63,0.0,10.63,0
2024-04-15 06:11:25-04:00,10.63,10.63,10.63,10.63,0.0,10.63,0
2024-04-15 06:11:30-04:00,10.63,10.63,10.63,10.63,0.0,10.63,0
2024-04-15 06:11:35-04:00,10.63,10.63,10.63,10.63,0.0,10.63,0
2024-04-15 06:11:40-04:00,10.63,10.63,10.63,10.63,0.0,10.63,0
2024-04-15 06:11:45-04:00,10.63,10.63,10.63,10.63,0.0,10.63,0
2024-04-15 06:11:50-04:00,10.63,10.63,10.63,10.63,0.0,10.63,0
2024-04-15 06:11:55-04:00,10.63,10.63,10.63,10.63,0.0,10.63,0
2024-04-15 06:12:00-04:00,10.63,10.63,10.63,10.63,0.0,10.63,0
2024-04-15 06:12:05-04:00,10.63,10.63,10.63,10.63,0.0,10.63,0
2024-04-15 06:12:10-04:00,10.63,10.63,10.63,10.63,0.0,10.63,0
2024-04-15 06:12:15-04:00,10.63,10.63,10.63,10.63,0.0,10.63,0
2024-04-15 06:12:20-04:00,10.63,10.63,10.63,10.63,0.0,10.63,0
