date,open,high,low,close,volume,average,barCount
2024-01-16 08:30:35-05:00,1.89,1.89,1.88,1.88,1200.0,1.8825,4
2024-01-16 08:30:40-05:00,1.88,1.88,1.88,1.88,0.0,1.88,0
2024-01-16 08:30:45-05:00,1.88,1.88,1.88,1.88,0.0,1.88,0
2024-01-16 08:30:50-05:00,1.9199,1.9199,1.9199,1.9199,500.0,1.9199,1
2024-01-16 08:30:55-05:00,1.92,1.92,1.92,1.92,1000.0,1.92,2
2024-01-16 08:31:00-05:00,1.92,1.92,1.92,1.92,1100.0,1.92,2
2024-01-16 08:31:05-05:00,1.92,1.92,1.92,1.92,8054.0,1.92,10
2024-01-16 08:31:10-05:00,1.92,1.92,1.92,1.92,0.0,1.92,0
2024-01-16 08:31:15-05:00,1.92,1.92,1.92,1.92,0.0,1.92,0
2024-01-16 08:31:20-05:00,1.92,1.92,1.92,1.92,0.0,1.92,0
2024-01-16 08:31:25-05:00,1.92,1.92,1.92,1.92,0.0,1.92,0
2024-01-16 08:31:30-05:00,1.92,1.92,1.92,1.92,0.0,1.92,0
2024-01-16 08:31:35-05:00,1.92,1.92,1.92,1.92,0.0,1.92,0
2024-01-16 08:31:40-05:00,2.01,2.09,1.89,2.09,1786.0,2.01385,5
2024-01-16 08:31:45-05:00,2.08,2.08,2.08,2.08,144.0,2.08,1
2024-01-16 08:31:50-05:00,2.08,2.08,2.08,2.08,0.0,2.08,0
2024-01-16 08:31:55-05:00,2.09,2.09,2.09,2.09,150.0,2.09,1
2024-01-16 08:32:00-05:00,1.98,1.98,1.98,1.98,600.0,1.98,2
2024-01-16 08:32:05-05:00,1.98,1.98,1.98,1.98,0.0,1.98,0
2024-01-16 08:32:10-05:00,1.98,1.98,1.98,1.98,0.0,1.98,0
2024-01-16 08:32:15-05:00,1.98,1.98,1.98,1.98,0.0,1.98,0
2024-01-16 08:32:20-05:00,1.88,1.88,1.88,1.88,150.0,1.88,1
2024-01-16 08:32:25-05:00,1.88,1.88,1.88,1.88,0.0,1.88,0
2024-01-16 08:32:30-05:00,1.97,1.97,1.97,1.97,100.0,1.97,1
2024-01-16 08:32:35-05:00,1.97,1.97,1.97,1.97,0.0,1.97,0
2024-01-16 08:32:40-05:00,1.95,1.97,1.95,1.97,1500.0,1.96575,5
2024-01-16 08:32:45-05:00,1.97,1.97,1.97,1.97,0.0,1.97,0
2024-01-16 08:32:50-05:00,1.92,1.97,1.92,1.97,1400.0,1.93571,3
2024-01-16 08:32:55-05:00,1.97,1.97,1.97,1.97,0.0,1.97,0
2024-01-16 08:33:00-05:00,1.97,1.97,1.97,1.97,300.0,1.97,2
2024-01-16 08:33:05-05:00,1.97,1.97,1.97,1.97,0.0,1.97,0
2024-01-16 08:33:10-05:00,1.97,1.97,1.97,1.97,0.0,1.97,0
2024-01-16 08:33:15-05:00,1.92,1.92,1.92,1.92,1488.0,1.92,7
2024-01-16 08:33:20-05:00,1.92,1.92,1.92,1.92,112.0,1.92,1
2024-01-16 08:33:25-05:00,1.92,1.92,1.92,1.92,0.0,1.92,0
2024-01-16 08:33:30-05:00,1.92,1.92,1.92,1.92,0.0,1.92,0
2024-01-16 08:33:35-05:00,1.92,1.92,1.92,1.92,0.0,1.92,0
2024-01-16 08:33:40-05:00,1.92,1.936,1.92,1.936,592.0,1.9227,2
2024-01-16 08:33:45-05:00,1.936,1.936,1.936,1.936,0.0,1.936,0
2024-01-16 08:33:50-05:00,1.92,1.92,1.92,1.92,100.0,1.92,1
2024-01-16 08:33:55-05:00,1.94,1.94,1.94,1.94,100.0,1.94,1
2024-01-16 08:34:00-05:00,1.92,1.98,1.92,1.98,1099.0,1.93092,3
2024-01-16 08:34:05-05:00,1.98,1.98,1.98,1.98,0.0,1.98,0
2024-01-16 08:34:10-05:00,1.98,1.98,1.98,1.98,0.0,1.98,0
2024-01-16 08:34:15-05:00,1.98,1.98,1.98,1.98,9096.0,1.98,8
2024-01-16 08:34:20-05:00,2.09,2.09,2.07,2.07,1194.0,2.08497,6
2024-01-16 08:34:25-05:00,2.1,2.1,2.1,2.1,808.0,2.1,2
2024-01-16 08:34:30-05:00,2.1,2.15,2.1,2.1,1170.0,2.11064,5
2024-01-16 08:34:35-05:00,2.1,2.15,2.1,2.15,2379.0,2.14177,8
2024-01-16 08:34:40-05:00,2.26,2.28,2.26,2.28,762.0,2.27423,2
2024-01-16 08:34:45-05:00,2.15,2.26,2.1203,2.26,1989.0,2.18971,7
2024-01-16 08:34:50-05:00,2.2,2.28,2.2,2.28,4603.0,2.25352,17
2024-01-16 08:34:55-05:00,2.25,2.4,2.25,2.38,10535.0,2.30333,26
2024-01-16 08:35:00-05:00,2.4,2.58,2.4,2.54,7964.0,2.46873,28
2024-01-16 08:35:05-05:00,2.51,2.64,2.466,2.64,18430.0,2.57406,50
2024-01-16 08:35:10-05:00,2.65,2.79,2.6,2.77,13649.0,2.73189,52
2024-01-16 08:35:15-05:00,2.77,2.79,2.67,2.67,11731.0,2.71051,54
2024-01-16 08:35:20-05:00,2.75,2.78,2.7,2.76,7271.0,2.74251,22
2024-01-16 08:35:25-05:00,2.72,2.79,2.68,2.79,6418.0,2.7339,21
2024-01-16 08:35:30-05:00,2.79,2.91,2.7496,2.8,33113.0,2.83044,84
2024-01-16 08:35:35-05:00,2.8,3.14,2.8,2.99,22049.0,2.98298,53
2024-01-16 08:35:40-05:00,3.01,3.11,2.94,2.96,14060.0,3.0195,66
2024-01-16 08:35:45-05:00,2.96,3.24,2.9,3.24,10852.0,3.08748,61
2024-01-16 08:35:50-05:00,3.19,3.5,3.19,3.3,26934.0,3.29537,78
2024-01-16 08:35:55-05:00,3.28,3.47,3.28,3.3,20872.0,3.37282,107
2024-01-16 08:36:00-05:00,3.3,3.44,3.23,3.44,11261.0,3.28404,72
2024-01-16 08:36:05-05:00,3.33,3.45,3.21,3.4,11482.0,3.33805,45
2024-01-16 08:36:10-05:00,3.4,3.4,3.3,3.34,6919.0,3.32595,32
2024-01-16 08:36:15-05:00,3.3,3.4,3.2903,3.35,5231.0,3.36087,30
2024-01-16 08:36:20-05:00,3.39,3.96,3.35,3.6,42474.0,3.52143,87
2024-01-16 08:36:25-05:00,3.63,3.89,3.51,3.7,20807.0,3.67854,83
2024-01-16 08:36:30-05:00,3.66,3.84,3.55,3.65,23551.0,3.72575,87
2024-01-16 08:36:35-05:00,3.57,3.71,3.5,3.71,10602.0,3.58417,50
2024-01-16 08:36:40-05:00,3.72,3.74,3.6,3.71,8305.0,3.70873,39
2024-01-16 08:36:45-05:00,3.74,3.84,3.6,3.63,19028.0,3.71803,86
2024-01-16 08:36:50-05:00,3.63,3.8,3.63,3.73,7267.0,3.74771,24
2024-01-16 08:36:55-05:00,3.73,3.8,3.65,3.73,9777.0,3.71495,34
2024-01-16 08:37:00-05:00,3.73,4.09,3.71,4.08,26894.0,3.96716,112
2024-01-16 08:37:05-05:00,4.07,4.1,3.84,3.85,23952.0,3.99796,85
2024-01-16 08:37:10-05:00,3.85,3.95,3.8,3.88,15510.0,3.85355,62
2024-01-16 08:37:15-05:00,3.95,4.04,3.87,3.92,15337.0,3.93065,54
2024-01-16 08:37:20-05:00,3.93,4.0,3.89,4.0,5793.0,3.96528,29
2024-01-16 08:37:25-05:00,4.0,4.2,4.0,4.08,13942.0,4.09301,59
2024-01-16 08:37:30-05:00,4.12,4.18,4.07,4.18,11362.0,4.13654,54
2024-01-16 08:37:35-05:00,4.17,4.27,4.0,4.0,94349.0,4.1693,186
2024-01-16 08:37:40-05:00,4.03,4.19,4.0,4.07,14846.0,4.11398,59
2024-01-16 08:37:45-05:00,4.08,4.16,4.01,4.05,7444.0,4.05572,39
2024-01-16 08:37:50-05:00,4.02,4.09,3.86,4.08,23571.0,3.96671,124
2024-01-16 08:37:55-05:00,4.09,4.09,3.91,3.91,5870.0,4.02944,22
2024-01-16 08:38:00-05:00,3.94,4.09,3.91,4.09,7904.0,4.01434,47
2024-01-16 08:38:05-05:00,4.1,4.13,4.01,4.13,8428.0,4.09426,37
2024-01-16 08:38:10-05:00,4.09,4.11,4.0,4.08,9957.0,4.04405,42
2024-01-16 08:38:15-05:00,4.08,4.11,4.04,4.07,4703.0,4.07191,15
2024-01-16 08:38:20-05:00,4.08,4.26,4.05,4.15,22417.0,4.17686,87
2024-01-16 08:38:25-05:00,4.15,4.16,3.91,3.91,23900.0,4.04146,81
2024-01-16 08:38:30-05:00,3.91,4.1,3.85,3.97,14920.0,3.96982,66
2024-01-16 08:38:35-05:00,3.98,3.98,3.9,3.96,5466.0,3.94444,31
2024-01-16 08:38:40-05:00,3.95,4.0,3.72,3.85,12786.0,3.84784,67
2024-01-16 08:38:45-05:00,3.75,3.88,3.65,3.78,10069.0,3.76695,47
2024-01-16 08:38:50-05:00,3.79,4.06,3.78,3.97,10030.0,3.91392,39
2024-01-16 08:38:55-05:00,4.0,4.04,3.97,3.97,3691.0,4.01189,15
2024-01-16 08:39:00-05:00,4.02,4.13,3.97,4.13,14933.0,4.03699,63
2024-01-16 08:39:05-05:00,4.1216,4.19,3.84,3.8403,23000.0,4.05178,91
2024-01-16 08:39:10-05:00,3.93,3.99,3.8,3.8,5979.0,3.86015,33
2024-01-16 08:39:15-05:00,3.85,3.9,3.8,3.87,6077.0,3.84246,27
2024-01-16 08:39:20-05:00,3.87,4.0,3.85,4.0,3499.0,3.91081,23
2024-01-16 08:39:25-05:00,3.96,3.96,3.84,3.89,5605.0,3.86479,24
2024-01-16 08:39:30-05:00,3.87,3.92,3.87,3.92,1839.0,3.90023,7
2024-01-16 08:39:35-05:00,3.9,3.96,3.87,3.87,1912.0,3.91298,10
2024-01-16 08:39:40-05:00,3.89,3.95,3.87,3.93,2389.0,3.90507,10
2024-01-16 08:39:45-05:00,3.93,3.93,3.88,3.92,4830.0,3.90495,14
2024-01-16 08:39:50-05:00,3.93,3.93,3.84,3.86,3861.0,3.87586,22
2024-01-16 08:39:55-05:00,3.87,3.92,3.87,3.9,3639.0,3.89035,13
2024-01-16 08:40:00-05:00,3.85,3.9,3.8,3.8,7989.0,3.8364,39
2024-01-16 08:40:05-05:00,3.81,3.89,3.8,3.8,7287.0,3.80808,30
2024-01-16 08:40:10-05:00,3.8,3.88,3.77,3.84,11361.0,3.81313,37
2024-01-16 08:40:15-05:00,3.8,3.8,3.75,3.75,7193.0,3.77088,36
2024-01-16 08:40:20-05:00,3.75,3.78,3.7,3.7,23743.0,3.73477,74
2024-01-16 08:40:25-05:00,3.7,3.82,3.64,3.78,21733.0,3.71314,69
2024-01-16 08:40:30-05:00,3.78,3.78,3.72,3.72,3951.0,3.75352,16
2024-01-16 08:40:35-05:00,3.75,3.78,3.6,3.62,16537.0,3.63604,82
2024-01-16 08:40:40-05:00,3.62,3.75,3.6,3.75,8601.0,3.62741,41
2024-01-16 08:40:45-05:00,3.63,3.75,3.63,3.69,6239.0,3.71799,31
2024-01-16 08:40:50-05:00,3.67,3.74,3.63,3.63,14362.0,3.656,42
2024-01-16 08:40:55-05:00,3.67,3.73,3.63,3.63,10935.0,3.66151,33
2024-01-16 08:41:00-05:00,3.63,3.75,3.55,3.57,22645.0,3.63732,74
2024-01-16 08:41:05-05:00,3.58,3.67,3.54,3.57,13299.0,3.6068,32
2024-01-16 08:41:10-05:00,3.61,3.66,3.61,3.66,3762.0,3.62939,15
2024-01-16 08:41:15-05:00,3.65,3.85,3.65,3.79,19495.0,3.76668,64
2024-01-16 08:41:20-05:00,3.79,3.92,3.78,3.91,25580.0,3.86758,108
2024-01-16 08:41:25-05:00,3.92,3.94,3.75,3.87,14721.0,3.87506,58
2024-01-16 08:41:30-05:00,3.88,3.89,3.82,3.88,7057.0,3.84961,23
2024-01-16 08:41:35-05:00,3.83,3.88,3.8,3.85,9002.0,3.85776,38
2024-01-16 08:41:40-05:00,3.86,3.87,3.82,3.82,1404.0,3.83968,9
2024-01-16 08:41:45-05:00,3.86,3.86,3.86,3.86,677.0,3.86,2
2024-01-16 08:41:50-05:00,3.83,3.85,3.79,3.83,4575.0,3.81907,25
2024-01-16 08:41:55-05:00,3.79,3.8,3.66,3.67,16800.0,3.73676,61
2024-01-16 08:42:00-05:00,3.75,3.79,3.66,3.71,4188.0,3.70904,19
2024-01-16 08:42:05-05:00,3.68,3.7,3.52,3.55,13247.0,3.61719,58
2024-01-16 08:42:10-05:00,3.55,3.59,3.4,3.4986,24255.0,3.4841,88
2024-01-16 08:42:15-05:00,3.45,3.5,3.43,3.47,10236.0,3.46882,47
2024-01-16 08:42:20-05:00,3.48,3.52,3.42,3.48,13738.0,3.45924,63
2024-01-16 08:42:25-05:00,3.49,3.5,3.4,3.4,9630.0,3.445,48
2024-01-16 08:42:30-05:00,3.4,3.4,3.37,3.37,7911.0,3.38219,31
2024-01-16 08:42:35-05:00,3.38,3.4,3.37,3.4,11768.0,3.39514,55
2024-01-16 08:42:40-05:00,3.38,3.42,3.32,3.35,12318.0,3.36547,50
2024-01-16 08:42:45-05:00,3.37,3.4,3.31,3.37,9251.0,3.36877,43
2024-01-16 08:42:50-05:00,3.37,3.38,3.32,3.37,5525.0,3.36073,32
2024-01-16 08:42:55-05:00,3.37,3.45,3.35,3.38,11478.0,3.39217,61
2024-01-16 08:43:00-05:00,3.38,3.41,3.38,3.38,6153.0,3.38979,35
2024-01-16 08:43:05-05:00,3.37,3.41,3.32,3.32,5747.0,3.3558,29
2024-01-16 08:43:10-05:00,3.33,3.38,3.33,3.37,6313.0,3.34475,22
2024-01-16 08:43:15-05:00,3.37,3.41,3.37,3.4,4729.0,3.38857,23
2024-01-16 08:43:20-05:00,3.39,3.4,3.35,3.38,5763.0,3.38054,21
2024-01-16 08:43:25-05:00,3.38,3.4,3.34,3.4,5761.0,3.38581,30
2024-01-16 08:43:30-05:00,3.3999,3.4,3.34,3.34,2401.0,3.37224,11
2024-01-16 08:43:35-05:00,3.38,3.39,3.27,3.2798,13178.0,3.31355,50
2024-01-16 08:43:40-05:00,3.27,3.3,3.21,3.21,12133.0,3.25602,56
2024-01-16 08:43:45-05:00,3.22,3.25,3.17,3.22,21295.0,3.20454,68
2024-01-16 08:43:50-05:00,3.21,3.25,3.19,3.25,4322.0,3.22307,16
2024-01-16 08:43:55-05:00,3.245,3.28,3.24,3.25,7789.0,3.26038,29
2024-01-16 08:44:00-05:00,3.25,3.3,3.24,3.28,10278.0,3.2732,41
2024-01-16 08:44:05-05:00,3.27,3.31,3.27,3.3,9868.0,3.30161,38
2024-01-16 08:44:10-05:00,3.3,3.3,3.21,3.27,8108.0,3.25906,46
2024-01-16 08:44:15-05:00,3.28,3.28,3.24,3.27,4090.0,3.25914,18
2024-01-16 08:44:20-05:00,3.27,3.3,3.27,3.3,6597.0,3.28738,36
2024-01-16 08:44:25-05:00,3.3,3.36,3.3,3.36,20648.0,3.31988,53
2024-01-16 08:44:30-05:00,3.36,3.36,3.34,3.36,9395.0,3.35252,38
